"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","id","app_id"
"3624","2005","09","07","Wednesday",720,"SK",24,1,"P",1.3482,1077.10383333333,608.35706,19,3,19,0,22,4,2.8563,67.375,1.047575,1.90643333333333,"3",0,1,"hold",6184
"3643","2005","09","07","Wednesday",0,"SH",18,0,"P",1.16295,598.208166666667,315.0998,57,1,34,0,43.402325,4,0.495933333333333,68.25,1.06483055555556,1.800948,"3",0,1,"hold",6369
"3671","2005","09","08","Thursday",0,"SC",18,0,"P",1.173,560.6615,333.585658333333,21.66425,1.07865833333333,65,0.056035519,33.1132198809524,22,0,61.2265625,1.07833333333333,1.82346666666667,"5",22.4088999999998,0,"hold",6384
"3672","2005","09","08","Thursday",1,"SB",19,1,"P",1,534.13725,281.021996666667,4,2,54,0.246690677,59,26,2,60.6171875,2,0,"1",0,2,"hold",6443
"3673","2005","09","08","Thursday",0,"SL",18,1,"P",1.16443333333333,516.23575,318.157396666667,23,1,48,0.327471394,31.5506791666667,17,0,54.375,1.05316666666667,1.79458666666667,"3",0,1,"hold",6217
"3683","2005","09","08","Thursday",1,"SC",18,0,"P",1.1797,512.44375,303.34955,17,1,36,0,30.041375,28,0,70.496328125,1.061225,1.85984777777778,"3",0,1,"hold",6329
"3684","2005","09","08","Thursday",0,"SE",22,0,"P",1.3443625,50,422.195558333333,21,4,33,0.053152632,102.22596,5,3,39.7734375,1,1.4285,"3",1098,3,"hold",6474
"3687","2005","09","08","Thursday",1,"SF",18,1,"P",1.174725,523.348666666667,306.781472619048,25,1,31,0.061105973,32.2290125,12,0.2887,76.84375,1,0,"3",0,1,"hold",6503
"3689","2005","09","08","Thursday",0,"SO",19,1,"P",1,100,149.969546212121,2,1,31,0.424437742,0,22,1.10753333333333,48.5546875,1.07280833333333,3,"3",0,1,"hold",6759
"3693","2005","09","08","Thursday",0,"SC",18,1,"P",1,534.539861111111,250.8316,2,1.182425,28,0.340795287,0,7,1,48.7734375,1,1,"5",26.2787471428569,0,"hold",6525
"3698","2005","09","08","Thursday",0,"SO",30,1,"P",2,1183.748,487.883883333333,4,2,22,0.574578974,1,13,2,64.28125,3,1,"3",58,1,"hold",6628
"3699","2005","09","08","Thursday",0,"SL",18,0,"P",1.169775,579.57075,366.165666666667,18.3423633333333,1.13045,23,0,36.1509,7,0,62.578125,1,0,"5",36.8454533333332,0,"hold",6742
"3701","2005","09","08","Thursday",0,"SA",19,1,"P",1.067,392.375416666667,154.429954545455,7,1,21,0.304598335,21.766,17,1.01705,34.3828125,1.06504166666667,3,"3",0,1,"hold",6563
"3707","2005","09","08","Thursday",1,"SF",19,1,"P",1.1185,512.42675,269.537526666667,13,1,18,0.115087831,34,20,2,54.375,1.041375,1.99921666666667,"3",0,1,"hold",6496
"3711","2005","09","08","Thursday",2,"SA",23,1,"P",1,1509.56875,562.911266666667,4,5,17,0.281582551,16,14,6,75.6875,1,1.43293333333333,"3",43,3,"hold",6703
"3712","2005","09","08","Thursday",0,"SE",20,0,"P",1,1100,1,4,2,16,0,1,7,1,77.09375,1,4,"3",0,2,"hold",6679
"3713","2005","09","08","Thursday",0,"SD",18,0,"P",1,2850,0,5,9,15,0.208449347,93.9176166666667,6,5,52.3828125,2,1,"3",0,4,"hold",6710
"3715","2005","09","08","Thursday",40,"SB",18,0,"P",1.18435,646.9075,446.067601666667,38,1,16,0,81.7206833333334,3,2,94.4375,1.15614166666667,1.88836666666667,"3",0,1,"hold",6686
"3718","2005","09","08","Thursday",1,"SL",18,0,"P",1.1575,598.4615,376.127096666667,18.2923083333333,1.11944,14,0,40.2096783333333,0,0,39.2578125,1.04406666666667,1.74883333333333,"5",25.3810199999998,0,"hold",6656
"3724","2005","09","08","Thursday",0,"SA",19,1,"P",1.13198333333333,491.90525,296.417244285714,31,1,12,0,33.15067,22,0,68.28125,1,2,"3",0,1,"hold",6499
"3731","2005","09","08","Thursday",1,"SD",32,1,"P",1,3450,0,3,2,10,0.114463246,0,22,0,77.46875,2,1,"3",0,2,"hold",6564
"3733","2005","09","08","Thursday",0,"SO",19,1,"P",2,100,260.868775,5,1,10,0.151146549,865,7.7731,0.995116666666667,63.5078125,3,0,"3",0,1,"hold",6513
"3735","2005","09","08","Thursday",0,"SB",18,1,"P",1.279725,1600.94833333333,885.380875,11,2,9,0,48.8002333333333,8.2342,20,83.03125,1.07864166666667,4,"3",0,1,"hold",6594
"3738","2005","09","08","Thursday",0,"SA",18,1,"P",1.05855,413.412666666667,143.280716666667,18.9789944444444,1.07139166666667,8,0.020250262,22.8680958333333,15,0,72.546875,1.03613333333333,1.59,"5",4.15783333333279,0,"hold",6779
"3744","2005","09","08","Thursday",0,"SC",19,1,"P",1.11013333333333,618.336333333333,289.52958,19.3727566666667,1.0811,7,0.166188458,30.4065416666667,2,2,52.8515625,1.0414,1.77663333333333,"5",14.2189799999997,0,"hold",6516
"3750","2005","09","08","Thursday",0,"SO",25,1,"P",1.353,3250,1828,7,2,6,0,0,12.5736,6,40.296875,2,1,"3",1485,1,"hold",6803
"3751","2005","09","08","Thursday",0,"SF",18,0,"P",1.1294,566.640416666667,205.929187878788,10,1,5,0,23.6601333333333,12,2,89.0625,1.05123333333333,2.30592,"3",0,1,"hold",6627
"3752","2005","09","08","Thursday",0,"SC",19,1,"P",1,600,216,2,3,5,0.322162047,1,5,1,59.3828125,1,1,"3",0,2,"hold",6744
"3753","2005","09","08","Thursday",1,"SG",18,1,"P",1.227425,705.135416666667,376.633971666667,13,2,4,0.318145799,36.052925,8.13767,0,70.71875,1,0.951666666666667,"3",0,2,"hold",6605
"3755","2005","09","08","Thursday",0,"SM",18,1,"P",1.1436,599.668166666667,383.495288333333,21.21653,1.08006666666667,4,0.054571599,52.85472,6,1,92.453125,1.04543333333333,1.77263333333333,"5",27.5573599999998,0,"hold",6664
"3759","2005","09","08","Thursday",0,"SE",21,1,"P",1.18008333333333,50,296.149883333333,17,1,4,0.001697278,0,7.3349,0,60.8125,1,0,"3",0,1,"hold",6521
"3763","2005","09","08","Thursday",0,"SD",18,1,"P",1.1406,515.897916666667,340.16495,18.9560933333333,1.08049166666667,4,0,52.5286766666667,16,1,42.4609375,1.04134166666667,1.7963,"5",16.525173333333,0,"hold",6729
"3765","2005","09","08","Thursday",700,"SD",27,1,"R",1,884.520833333333,645.000448333333,6,1,4,0.438374763,46.2206,6.4101,2.1842,53.90625,1,2,"3",0,1,"hold",6782
"3768","2005","09","08","Thursday",0,"SN",24,2,"P",1,4250,1166.08425,3,3,3,0.365724921,0,5,7,75.703125,2,1,"3",1181,3,"hold",6747
"3769","2005","09","08","Thursday",1,"SO",21,1,"P",1.92235,350,0,21,1,2,0.092584257,185.9660125,7.71753166666667,2.5359,38.640625,3,0,"3",1150,1,"hold",6610
"3772","2005","09","08","Thursday",0,"SE",25,1,"P",1.26145,1577.62416666667,718.248391666667,16,2,2,0.102224545,51,3,7,47.9453125,1.0344,3,"3",0,1,"hold",6773
"3774","2005","09","08","Thursday",0,"SH",19,1,"P",1.1059,482.617892857143,314.716713333333,32,1,13,0,40.2583125,7,1,44.3203125,1.058375,1.92026666666667,"3",0,1,"hold",6667
"3777","2005","09","08","Thursday",0,"SO",19,1,"P",1.11493333333333,444.218,305.954055,27,1,10.6449,0.195901022,38.7858082142857,2,0,58.890625,1.04967916666667,1.7252,"3",0,1,"hold",6621
"3778","2005","09","08","Thursday",0,"SM",16,0,"P",1.1483,631.481583333333,377.701588333333,18.40669,1.104275,14.1724833333333,0.065042973,36.2325,8.9153,0.621033333333333,37.5,1.043675,1.6908,"5",20.5438399999998,0,"hold",6694
"3780","2005","09","08","Thursday",0,"SE",32,3,"R",1.2249,1250,401,14,2,12.7013,0.081802791,1,7.833275,2.2096,7.05078125,1,1.3883,"3",0,2,"hold",6640
"3782","2005","09","08","Thursday",0,"SE",18,1,"P",1.1068,556.303059523809,335.24041,57,1,3,0.065844894,38.2225333333333,8.17865,0.3931,78.375,1.056875,1.71356666666667,"3",0,1,"hold",6691
"3784","2005","09","08","Thursday",0,"SE",18,0,"P",1,412.654,281.707483333333,2,1,2,0,31.3410333333333,13,0,82.53125,1.05483333333333,1.85583333333333,"3",0,1,"hold",6807
"3786","2005","09","08","Thursday",0,"SM",35,2,"R",1.1118,1300,617.41162,6,1,12.3249083333333,0.274025954,29.8438833333333,8.7488,2.2977,53.015625,1,1.71318333333333,"3",486,1,"hold",6714
"3787","2005","09","08","Thursday",0,"SA",18,1,"P",1.09945,462.652666666667,260.443941666667,40,1,19,0.028676604,37.5380375,6,0,62.09375,1.05491666666667,1.61148666666667,"3",0,1,"hold",6546
"3788","2005","09","08","Thursday",0,"SM",21,3,"P",1.41640833333333,4750,0,7,8,19,0.016936227,16,17,3,78.28125,1,3,"3",636,7,"hold",6692
"3789","2005","09","08","Thursday",0,"SO",28,2,"R",1,300,538.4566,6,1,10.1408666666667,1.217999838,76.9300166666667,7.7569,2.7659,11.4453125,1,0,"3",0,1,"hold",6631
"3791","2005","09","08","Thursday",0,"SO",20,1,"P",1.1491,538.925,352.2219,18.4204033333333,1.1016,11.6375416666667,0,40.8599391666667,7.5695,1.46373333333333,16.24609375,1.05713333333333,1.8267,"5",30.6836666666665,0,"hold",6614
"3794","2005","09","08","Thursday",0,"SC",18,1,"P",1.14725,566.405,373.855396666666,20.50775,1.0718,1,0.139931906,42.1350666666667,1,0,36.8046875,1.05198333333333,1.77696666666667,"5",22.7426199999998,0,"hold",6575
"3795","2005","09","08","Thursday",1,"SH",18,0,"P",1.115,563.085083333333,307.1139,18.37652,1.073925,13.718525,0.167964187,35.1941325,9.9024,0,46.125,1.04295833333333,1.74903333333333,"5",14.6738799999997,0,"hold",6491
"3798","2005","09","08","Thursday",0,"SE",18,1,"P",1.0988,521.387583333333,325.631425,18.31349,1.07565666666667,15.46755,0.034212324,31.730651547619,9.62296666666666,0.1874,62.953125,1.03455833333333,1.71996666666667,"5",12.910373333333,0,"hold",6637
"3799","2005","09","08","Thursday",0,"SF",29,1.2671,"R",1.1697,1086.51766666667,561.669833333333,19.8663666666667,1.1671,11.794375,0.130324276,32.96986,8.46256666666667,1.83866666666667,27.47265625,1.0497,1.57106666666667,"5",88.1939999999999,0,"hold",6580
"3800","2005","09","08","Thursday",240,"FT",16,0.8687,"P",1.1246,673.449583333333,394.4991,19.46231,1.08334,15.2791333333333,0,31.8004133333333,7.675125,0.60925,53.9955522135505,1.05940833333333,1.6965,"5",18.7436799999997,0,"hold",6762
"3807","2005","09","08","Thursday",0,"SF",18,1,"P",1,546.691111111111,263.790716666667,2,1.1476,27,0.350303667,0,6,1,45.34375,1,1,"5",29.3249533333331,0,"hold",6724
"3809","2005","09","08","Thursday",1,"SE",18,1,"P",1.1339,501.995583333333,356.856633333333,18.8951333333333,1.06546666666667,29,0,33.2926766666667,6,0,69.953125,1.03595833333333,1.65698666666667,"5",18.997673333333,0,"hold",6704
"3814","2005","09","08","Thursday",1,"SO",21,1,"P",1,1900,1,2,2,50,0.19082744,1,13,2,79.828125,2,1,"3",1679,2,"hold",6641
"3817","2005","09","08","Thursday",0,"SO",21,1,"P",1,590.64975,334.895421666667,4,1,14.5628782051282,0.036737131,475,9.50470666666667,2.70523333333333,37.25,1.1275,2.09146666666667,"3",0,1,"hold",6699
"3839","2005","09","08","Thursday",0,"SN",20,0,"P",1,150,321.05465,5,2,79,0.0306076,134,20,2,80.265625,1,1.59076666666667,"3",12,2,"hold",6544
"3852","2005","09","09","Friday",1,"SC",18,0,"P",1.27110833333333,534.625,332.32615,20.7156666666667,1.27882857142857,84,0.216114266,60.376825,19,0,69.015625,1,0,"5",46.6976999999999,0,"hold",6543
"3862","2005","09","09","Friday",0,"SL",19,1,"P",1.241225,702.3415,268.152704545455,21,1.16874523809524,31,0.182624175,7,6,1,70.21875,1,0,"5",22.7038504761902,0,"hold",6571
"3863","2005","09","09","Friday",0,"SM",19,1,"P",1.32013333333333,400,304.269266666667,17,2,29,0,45.9587083333333,7,0,86.0625,1,0.844266666666667,"3",0,2,"hold",6693
"3866","2005","09","09","Friday",0,"SN",18,1,"P",1.21165,617.552333333333,389.260766666667,25,1,24,0,57.072594047619,2,0,32.375,1.0855,2.06357,"3",0,1,"hold",6600
"3867","2005","09","09","Friday",0,"SA",19,0,"P",1,387.864166666667,145.176716666667,5,1.208325,27,0.027156738,35.314725,20,1,70.171875,1,2,"5",17.8135199999998,0,"hold",6606
"3870","2005","09","09","Friday",0,"SO",18,1,"P",1.2112,398.169583333333,251.865941666667,14.767195,1.0593,20,0.039326422,56.1324464285714,10,0,40.3046875,1,0,"5",35.5623933333333,0,"hold",6612
"3874","2005","09","09","Friday",0,"SD",18,0,"P",1.13116666666667,50,159.185963333333,8,1,19,0,39.41488,9,0,57.7578125,1.062325,2.227425,"3",0,1,"hold",6672
"3876","2005","09","09","Friday",0,"SN",18,1,"P",1.1985,608.670833333333,374.3133,20.41753,1.07189666666667,19,0.078688325,47.9502208333333,25,0.2721,78.3125,1.07286666666667,1.8569,"5",20.3420733333331,0,"hold",6576
"3879","2005","09","09","Friday",1,"SB",19,1,"P",1.24203333333333,468.3875,269.524883333333,13,2,19,0,51.4926916666667,13,0,59.59375,1,1.14062666666667,"3",0,2,"hold",6712
"3881","2005","09","09","Friday",0,"SF",18,0,"P",1.1471,500.543166666667,314.287476666666,18.1586933333333,1.07128,15,0.104855781,40.421975,2,0.0782999999999993,68.65625,1.042175,2.06546666666667,"5",12.3874799999998,0,"hold",6719
"3882","2005","09","09","Friday",0,"SB",18,0,"P",1.1429,329.826166666667,173.513263333333,9,1,12,0.11982072,35.6509866666667,7,0,84.125,1.05728055555556,2.41968333333333,"3",0,1,"hold",6514
"3883","2005","09","09","Friday",1,"SO",21,1,"P",1,538.4725,351.426675,3,1,13,0.551881524,100.893785714286,0,1.6487,21.359375,1.18775833333333,2.16268333333333,"3",0,1,"hold",6705
"3884","2005","09","09","Friday",0,"SO",18,1,"P",1.1544,480.617166666667,314.46198,18.4098133333333,1.05282,12,0,38.858565,0,0,68.484375,1.03943333333333,2.0007,"5",15.2866133333331,0,"hold",6586
"3886","2005","09","09","Friday",0,"SG",18,1,"P",1.17525,569.77,317.447409545455,11,1,11,0,38.9897516666667,0,0.398166666666667,47.2109375,1.06016666666667,4,"3",0,1,"hold",6764
"3895","2005","09","09","Friday",0,"SO",18,1,"P",1.1662,534.8195,310.425608333333,60,1,11,0,45.6814983333333,0,0,61.6796875,1.05588055555556,2.00707777777778,"3",0,1,"hold",6687
"3898","2005","09","09","Friday",1,"SC",20,1,"P",1.16200833333333,651.3825,205.336362878788,19,1,9,0.050288385,0,6,1,62.0859375,1.05475,2.32476666666667,"3",0,1,"hold",6560
"3900","2005","09","09","Friday",0,"SO",21,1,"P",1.30485,650,349.347891666666,23,1,6,0.049252981,50,2,3,52.921875,2,0,"3",0,1,"hold",6558
"3902","2005","09","09","Friday",0,"SO",16,1,"P",1.1316,437.179583333333,275.776601666667,17.6727916666667,1.04788,7,0.231993935,46.2149208333333,6,0.100799999999999,62.765625,1.039775,1.9808,"5",8.50664666666637,0,"hold",6920
"3904","2005","09","09","Friday",0,"SD",18,1,"P",1.1725,569.595,352.202318333333,32,1,7,0.330688642,51.0933266666667,0,1,80.421875,1.07106666666667,2.04347777777778,"3",0,1,"hold",6999
"3906","2005","09","09","Friday",0,"SA",20,1,"P",1.263425,558.10875,308.643766666667,14,3,6,0.090215962,48.2464833333333,10,3,44.0859375,1,1.33843333333333,"3",0,2,"hold",7033
"3907","2005","09","09","Friday",0,"SO",19,1,"P",1.2544,1741.48583333333,754.221175,18,1,7,0.286613589,44.7870958333333,5,24,62.703125,1.0733,2.07473333333333,"3",0,1,"hold",6963
"3909","2005","09","09","Friday",0,"SA",18,1,"P",1.2924,441.704583333333,284.715083333333,14,2,5,0.084260478,55.1861916666667,1,0.39005,58.5390625,1,0,"3",0,2,"hold",6874
"3910","2005","09","09","Friday",0,"SJ",23,0,"P",1.2034,924.4225,477.304513333333,51,1,6,0.173825536,50.8198866666667,9,5,60.7109375,1.0945,1.8579,"3",0,1,"hold",7019
"3912","2005","09","09","Friday",0,"SO",18,1,"P",1.100775,445.30925,105.3146,25,1,4,0,26.5977666666667,22,0.211446666666666,65.8456152343766,1.04266666666667,1.82388333333333,"3",0,1,"hold",6940
"3913","2005","09","09","Friday",1,"SO",19,1,"P",1.125,446.23625,251.35681,7,1,6,0,54,7,2,70.34375,1.0431,2.6037,"3",0,1,"hold",6850
"3914","2005","09","09","Friday",0,"SK",18,0,"P",1.17425,572.686,349.197721212121,20.320115,1.09634,4,0.167872193,49.7897391666666,10,0.2715,90.9375,1.03905,1.9493,"5",20.0427266666664,0,"hold",6975
"3919","2005","09","09","Friday",0,"SH",19,2,"P",1.2253,548.845,344.423175,18.1711833333333,1.12731666666667,4,0.722146062,51.990075,5.69505,1.02595,50.0078125,1.0462,1.81995,"5",97.5594666666666,0,"hold",6909
"3921","2005","09","09","Friday",0,"SB",20,1,"P",1.256625,500,210.249016666667,12,2,3,0,0,27,2,81.28125,1,1.5561,"3",0,2,"hold",6988
"3922","2005","09","09","Friday",1,"SE",20,1,"P",1.2245,100,305.654666666667,21,1,3,0.056116825,85.9943783333334,0,0,34.3515625,1,1.10596666666667,"3",88,1,"hold",6845
"3923","2005","09","09","Friday",0,"SO",21,1,"P",1.197725,503.1525,296.515941666667,18,1,3,0.154123509,45.7915366666667,7.981,2.0357625,49.0703125,1,0,"3",0,1,"hold",7038
"3925","2005","09","09","Friday",0,"SF",19,1,"P",1.13366666666667,150,125.027466666667,17,1,3,0.04119767,24.2540433333333,26,2,85.0625,1,0,"3",0,1,"hold",6974
"3928","2005","09","09","Friday",0,"SA",18,1,"P",1.1469,468.479166666667,294.32615,18.1389333333333,1.0695,1,0,44.0917547619048,3,0,62.8470034765632,1.0512,2.08616666666667,"5",12.8164866666664,0,"hold",6949
"3929","2005","09","09","Friday",0,"SH",18,0,"P",1.1974,1944.61416666667,930.776075,25,1,3,0.157976298,53.6902333333333,9.6419,14,78.015625,1.1144,2.09826666666667,"3",0,1,"hold",6950
"3930","2005","09","09","Friday",0,"SB",18,1,"P",1,265.74725,155.82498,3,1,2,0.374721623,73.999295,8.80098333333333,0,29.109375,1.14955833333333,1.99384761904762,"3",0,1,"hold",6818
"3933","2005","09","09","Friday",0,"SC",18,1,"P",1.204,622.958333333333,355.684035,20.00016,1.06670666666667,2,0,43.1491333333333,0,0,31.12890625,1.0459,1.84885333333333,"5",21.1292066666664,0,"hold",7028
"3935","2005","09","09","Friday",0,"SL",19,1,"R",1.356075,552.002416666667,409.863793333333,14,3,1,0.155676173,76.20762,2,1,38.6484375,1,1,"3",0,1,"hold",6939
"3937","2005","09","09","Friday",1500,"SA",47,1,"H",1.4598,2775.69466666667,1881.5675,16,2,9.0324,0.027623341,85.74925,1,3,29.57421875,1.2205,2.1854,"3",0,1,"hold",6907
"3940","2005","09","09","Friday",0,"SN",25,1,"R",3,150,344.564646212121,2,1.60355,18.8055692857143,0.010360827,0,9.86009,2.0327,72.5625,4,1,"5",96.7598,0,"hold",6914
"3942","2005","09","09","Friday",0,"SO",22,1,"P",1.26828333333333,1200,363.7579,9,2,22.60515,0,44,13.9509,3.64096666666667,83.5625,1,3,"3",1223,2,"hold",6972
"3945","2005","09","09","Friday",0,"SC",33,3,"P",1,250,31,3,2,23.2353666666667,0.491541703,69.1121416666667,15.1066,15,49.8203125,1,0,"3",0,1,"hold",7036
"3947","2005","09","09","Friday",0,"SH",20,0,"P",1.25168333333333,540.579416666667,287.374483333333,24,1,11.13265,0.014337657,31.1400123809524,0,0,70.15625,1,1,"3",0,1,"hold",6819
"3949","2005","09","09","Friday",0,"SL",24,1,"R",1.3431,500,30,9,1.58425,16.242725,0.449892699,84,10.3985,2.5051,32.59375,1,0,"5",186.5643,0,"hold",6885
"3961","2005","09","09","Friday",300,"SB",22,1.27246666666667,"R",1.1908,792.386333333333,398.41355,18.3006616666667,1.1102,15.350125,0.060144475,40.3233,10.011375,1.7489,47.046875,1.0438,1.8125,"5",47.9625066666665,0,"hold",6938
"3981","2005","09","09","Friday",0,"SO",18,1,"P",1,100,171.095466666667,6,1,21,0.07379185,50,5,0.493172857142857,57.2421875,1,0,"3",145,1,"hold",6995
"3984","2005","09","09","Friday",1,"SH",18,0,"P",1.19895,519.4145,297.84438,13.8962166666667,1.0732,27,0.064618651,42.4592630952381,1,0,59.0546875,1.0499,3,"5",12.6913666666665,0,"hold",7053
"3995","2005","09","09","Friday",0,"SH",18,1,"P",1.1831,404.827333333333,192.687866666667,8,1,77,0.020948925,36.5643016666667,9,1,85.203125,1.0574,2.66343333333333,"3",0,1,"hold",7043
"4018","2005","09","10","Saturday",0,"SN",26,1,"P",1,2150,1332,3,2,2,0,29,3,0,55.7781395507913,1.157275,2.1895,"3",0,1,"hold",7023
"4022","2005","09","10","Saturday",0,"SO",19,1,"P",1.16745,433.1455,339.2543675,9,1,11.058545,0.323295023,109,5,2,51.203125,1.05856666666667,2.69701666666667,"3",0,1,"hold",6980
"4023","2005","09","10","Saturday",1,"SH",18,1,"P",1.13815,490.483166666667,308.802896666667,17.493575,1.068,17.4733233333333,0.180498267,35.7754964285714,9.7621,0,79.765625,1.0507,1.94799133333333,"5",12.9135599999997,0,"hold",6898
"4024","2005","09","10","Saturday",0,"SH",18,1,"P",1.1261,479.944916666667,313.226001666667,17.3099333333333,1.0702,14.9696833333333,0.185300126,36.5466129761905,9.312425,0,78.046875,1.0505,1.886808,"5",11.170213333333,0,"hold",6830
"4026","2005","09","10","Saturday",1100,"SA",22,1,"R",1.2341,739.569666666667,474.7073,24,2,9.825225,0.37020409,39.34687,6.6618,2,45.6484375,1.1073,2.16453333333333,"3",0,1,"hold",6833
"4027","2005","09","10","Saturday",0,"SH",25,1,"R",1.3165,815.300083333333,574.892158333333,15,2,13.4725666666667,0.14594422,72.5859,9.75785,5,29.8046875,2,1,"2",99.4673066666666,0,"hold",6951
"4028","2005","09","10","Saturday",1,"SA",18,1,"P",1,534.832208333333,177.782414545455,6,2,20.4871583333333,0.071957264,0,13.8621666666667,1,63.7611979166667,1,2,"3",0,2,"hold",6961
"4029","2005","09","10","Saturday",0,"SG",19,2,"R",1,1750,496,5,1.19178095238095,11.8086416666667,0.270674339,29.29841,8.53203333333334,2.3892,53.4140625,1.0608,1.86185,"5",273.78362,0,"hold",6824
"4030","2005","09","10","Saturday",1,"SD",20,1,"P",1,798.7045,310.3387,5,2,24.08405,0.383187967,0,13.4891166666667,3,69.921875,2,2,"3",0,2,"hold",6816
"4031","2005","09","10","Saturday",0,"SL",24,1,"R",2,616.36925,441.461383333333,4,2,12.6235,0.305119952,45,8.99903333333333,1.48315,37.6640625,2,1,"3",0,2,"hold",7004
"4032","2005","09","10","Saturday",1,"SO",30,1,"R",1.1837,743.455083333333,506.345831666667,30,1,9.64840833333333,0.18605143,46.1598980952381,6.40568,1.5674,42.1640625,1.136375,2.1944,"3",0,1,"hold",7060
"4033","2005","09","10","Saturday",0,"SA",20,1,"P",1.06466666666667,562.227041666667,168.848775757576,20,1,22.74095,0.025489289,0,13.7443333333333,1.9074,70.78125,1.089,2.07025,"3",0,1,"hold",6841
"4035","2005","09","10","Saturday",0,"SA",20,1,"R",1,650,458.103975,5,1,10.8258166666667,0.248047838,42.7628833333333,6.12718333333333,0,56.859375,2,0,"3",261,1,"hold",6913
"4036","2005","09","10","Saturday",660,"SN",29,1.1704,"R",1,1091.20616666667,636.6897,2,1.3473,13.4860333333333,0.345166915,32.74076,8.12338333333334,1.97113333333333,57.1015625,1,1,"5",144.970676666667,0,"hold",7015
"4037","2005","09","10","Saturday",0,"SH",19,0,"P",1.12908333333333,450.54025,227.829855,17.4491033333333,1.0942,13.1826566666667,0.044926566,26.82422,13.16256,0.995816666666666,56.921875,1.0557,1.82230666666667,"5",8.8088199999996,0,"hold",6837
"4040","2005","09","10","Saturday",0,"SC",18,1,"P",1.09895,396.159916666667,209.303141666667,20.039265,1.055525,12.9757416666667,0,25.2795383333333,13.6579333333333,0.206399999999999,65.8837408203136,1.055975,1.62992133333333,"4",6.8818733333328,0,"hold",6945
"4041","2005","09","10","Saturday",500,"SC",33,1.1149,"R",1.1931,1005,572.881733333333,21.5610416666667,1.2737,10.6442,0.208074892,33.3916166666667,8.43374,2.1513,25.90625,1.05703333333333,1.6949,"5",94.8134666666666,0,"hold",6925
"4044","2005","09","10","Saturday",1,"SA",19,1,"R",1.13385,527.7055,388.694696666667,16.7369716666667,1.0849,11.8478616666667,0.514791554,47.8026666666667,7.444175,1.0298,52.9140625,1.0817,1.92463333333333,"5",41.3069799999998,0,"hold",7062
"4045","2005","09","10","Saturday",0,"SL",18,0,"R",1.1311,585.400166666667,374.931505,18.410375,1.08366666666667,14.0436333333333,0,37.3596241666667,8.56978333333333,0.4114,64.96875,1.05993333333333,1.8048,"5",22.2358999999998,0,"hold",6848
"4046","2005","09","10","Saturday",0,"SA",22,1,"R",1.11725,686.994166666667,417.951916666667,17.7020833333333,1.0848,12.0315416666667,0.073231072,36.87337,8.214675,1.68985,56.328125,1.0631,1.83703333333333,"5",37.5254066666666,0,"hold",6923
"4047","2005","09","10","Saturday",0,"SN",20,1,"P",1.13122291666667,500,124,22,1,16.5950333333333,0.022831725,27.0377616666667,12.4439416666667,1.85291666666667,73.21875,1,1.1703,"3",198,1,"hold",7032
"4048","2005","09","10","Saturday",0,"SA",18,1,"P",1.1121,407.36525,228.848813333333,18.0739755555555,1.05716666666667,14.9688916666667,0,30.0004190476191,10.5581,0.0602999999999994,66.6456868489614,1.04313333333333,1.73572133333333,"5",8.32941333333296,0,"hold",7012
"4049","2005","09","10","Saturday",0,"SO",18,1,"P",1.0855,372.631416666667,192.01515,19.6575066666667,1.05576666666667,11.988575,0,24.1145833333333,12.98621,0.234469999999999,64.3214058919298,1.05100833333333,1.64410666666667,"4",6.67056666666616,0,"hold",6853
"4054","2005","09","10","Saturday",0,"SB",25,1,"R",1.1348,750.457333333333,422.0677,17.9306716666667,1.09008,13.3696709523809,0,31.887955,8.987625,1.70976666666667,48.2946135742366,1.05403333333333,1.7944,"4",45.1175166666665,0,"hold",6982
"4062","2005","09","10","Saturday",0,"SO",19,1,"P",1,450,248,4,2,14.0652,0.353298276,44.1840833333333,8.65002,1.1149,33.3359375,2,1,"3",324,2,"hold",6820
"4063","2005","09","10","Saturday",720,"SO",32,1,"R",1.24615,970.285833333333,563.6005,15,2,11.2697666666667,0.193808047,0,7.69125,0,49.8671875,1,2,"3",59,2,"hold",6904
"4066","2005","09","10","Saturday",0,"SA",16,1,"P",1.0879,346.503583333333,179.360304545455,19.1599266666667,1.06339166666667,5,0,25.8116207142857,21,0.216233333333333,51.3671875,1.05094166666667,1.65714133333333,"5",7.04153999999949,0,"hold",6860
"4067","2005","09","10","Saturday",0,"SN",35,1,"R",1.3852875,2500,1212.366,14,3,18.3555666666667,0.080532596,49,10.3563166666667,1,67.78125,1,4,"3",3010,3,"hold",6859
"4099","2005","09","10","Saturday",0,"SK",18,1,"P",1.1765,613.597916666667,319.117008333333,19.9327833333333,1.10555,38,0,25.5908166666667,16,2,77.265625,1.0605,1.84473095238095,"5",24.6232066666664,0,"hold",6855
"4105","2005","09","10","Saturday",0,"SL",18,1,"P",1.1828,466.183416666667,304.853227424242,23,1,25,0.234359732,35.9031625,16,0,80.125,1.06363055555556,1.93834,"3",0,1,"hold",6890
