"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","na_prop","GOOD","id","app_id"
"7136","2005","10","29","Saturday",0,"SN",25,4,"P",1,700,754.86,2,1,17,0.218536958,34,9,7,33.5859375,1,1,"5",459.24,0,0.1,"2","dm.minus",-10690
"7141","2005","10","29","Saturday",1000,"SO",22,2.87,"R",1.63,3273.5,1698.26,26.9,2,2,0.041760309,221.64,5.8,6.51,33.5390625,1.2,1.98,"5",629.35,0,0.433333333333333,"2","dm.minus",-10680
"7143","2005","10","29","Saturday",1200,"SF",32,3,"R",1.56,1401,1033.48,12,3,11.11,0.451905275,114.34,6.93,0,43.59375,2,0,"3",1,2,0.233333333333333,"2","dm.minus",-10682
"7144","2005","10","29","Saturday",0,"SN",42,1,"H",1,200,1266.69,1,3,10.95,0.147287459,0,9.62,6,55.703125,2,1,"1",213,3,0.133333333333333,"2","dm.minus",-10683
"7145","2005","10","29","Saturday",600,"SN",36,1,"R",2.32,2145,1848.12,47,3,7.54,0.180143024,268.9,7.32,4.75,59.3046875,4,0,"5",498.81,0,0.3,"2","dm.minus",-10703
"7146","2005","10","29","Saturday",0,"SO",20,1,"P",1.03,891,588.08,47,1,14.42,0,26.03,11.97,1.95,48.1875,1.04,2.4,"3",0,1,0.366666666666667,"2","dm.minus",-10669
"7149","2005","10","29","Saturday",860,"SE",19,1,"R",1,708,402.43,4,1,17.31,0.281587507,26,10.74,1.03,52.3359375,1,0,"3",0,1,0.2,"2","dm.minus",-10681
"7150","2005","10","29","Saturday",0,"SN",20,2,"R",1,1200,510.76,1,1,15.2,0.134245518,12,9.01,1.02,55.4375,2,0,"3",489,1,0.166666666666667,"2","dm.minus",-10687
"7151","2005","10","29","Saturday",0,"SO",18,1,"P",1,520,277.3,1,1,23.25,0.270680274,15,13.2066666666667,0.62,59.4453125,2,1,"3",0,1,0.2,"2","dm.minus",-10688
"7153","2005","10","29","Saturday",0,"SC",23,1,"R",1.18,1968,1390.87,32.59,1.41,16.84,0.601567155,43.39,10.42,3.97,62.5390625,1,0,"5",515.24,0,0.366666666666667,"2","dm.minus",-10702
"7155","2005","10","29","Saturday",0,"SN",24,5,"R",1.1,2022,1548.53,29.51,1.47,8.97,0,38.43,6.71,4.44,42.5204687501,1.07,2.39,"4",421.64,0,0.466666666666667,"2","dm.minus",-10701
"7157","2005","10","29","Saturday",0,"SB",20,2,"P",1.23,950,599.18,17,1.27,31,0.187126305,35,5,0,74.0625,1,1,"5",358.9025,0,0.166666666666667,"2","dm.minus",-10709
"7169","2005","11","01","Tuesday",1,"SA",22,1,"P",1.26,1450,1613,16,1,60,0,86,13,3,88.90625,1,2,"3",0,1,0.0666666666666667,"2","dm.minus",-10765
"7172","2005","11","01","Tuesday",1,"SO",19,1,"P",1.19,734,710.32,17.95,1.22,20,0.063468559,88.27,6,1.1,49.90625,1.17,1.99,"5",53.2199999999997,0,0.366666666666667,"2","dm.minus",-10754
"7173","2005","11","01","Tuesday",0,"SN",19,1.25,"P",1.15,748.5,440.71,21.24,1.33,19,0.317062874,40.41,19,2,56.8046875,1,0,"5",121.45,0,0.3,"2","dm.minus",-10721
"7174","2005","11","01","Tuesday",0,"SO",23,2.23,"P",1.11,1450,1735,14,2,17,0,63.49,7,21,41.5859375,1,4,"1",1370,2,0.133333333333333,"2","dm.minus",-10749
"7175","2005","11","01","Tuesday",0,"SO",19,1,"P",1.1,50,330.46,28,1,14,0,50.97,3,0,80.984375,1,1.02,"3",61,1,0.166666666666667,"2","dm.minus",-10732
"7176","2005","11","01","Tuesday",0,"SE",23,3,"P",1.33,100,829.56,25,1,12,0,64.04,27,7,57.4921875,1,0,"3",0,1,0.133333333333333,"2","dm.minus",-10725
"7178","2005","11","01","Tuesday",0,"SL",19,2,"P",1.08,799,375.18,48,1,6,0.259813349,58.93,19,1,54.125,1,4,"3",4,1,0.166666666666667,"2","dm.minus",-10761
"7179","2005","11","01","Tuesday",260,"SO",18,2,"P",1.21,514.5,334.11,19.35,1.16,6,0,36.43,2,0,65.671875,1,1,"5",123.47,0,0.266666666666667,"2","dm.minus",-10758
"7180","2005","11","01","Tuesday",0,"SF",18,1,"P",1.38,1045,616.38,33,2,4,0.211598581,76.57,0,0.95,74.859375,2,0,"3",0,2,0.2,"2","dm.minus",-10718
"7181","2005","11","01","Tuesday",0,"SO",19,2,"P",1,1388.25,568.56,6,1,3,0.179350386,35,5,0,58.890625,2,0,"3",1525,1,0.1,"2","dm.minus",-10722
"7183","2005","11","01","Tuesday",0,"SC",21,1,"P",1.13,250,461.06,24,2,7,0.133360019,53.26,18,4,37.40625,1.08,2.03,"1",0,1,0.2,"2","dm.minus",-10731
"7185","2005","11","01","Tuesday",0,"SD",34,1,"R",1,1504,953.76,6,5,9.09,0.230239158,73.54,8.36,6,34.328125,1,1,"3",0,2,0.2,"2","dm.minus",-10748
"7186","2005","11","01","Tuesday",1,"SO",34,1,"R",1,1506,1028.42,6,5,8.25,0.24278982,59.64,8.59,8,31.4453125,1,1,"3",0,2,0.2,"2","dm.minus",-10744
"7187","2005","11","01","Tuesday",0,"SL",28,2,"H",1.52,23650,11007,13,2,15.92,0.066993431,128.75,10.1266666666667,1,42.5,2,0,"3",2451,2,0.166666666666667,"2","dm.minus",-10713
"7188","2005","11","01","Tuesday",1500,"SO",29,2,"H",1.65,7450,3286,9,2,15.77,0,107.8,8.53666666666667,1,12.8984375,1,0,"3",1,2,0.166666666666667,"2","dm.minus",-10714
"7189","2005","11","01","Tuesday",0,"SO",23,6,"R",1.13,1450,683.31,43,1,17.02,0.108008882,33.45,8.83,3.1,70.421875,1,0.76,"3",656,1,0.266666666666667,"2","dm.minus",-10738
"7191","2005","11","01","Tuesday",0,"SC",27,1,"R",1.19,1349.5,1115.28,28,1,14.27,0.363286613,92.25,6.89,2.05,65,1.14,1.91,"3",0,1,0.333333333333333,"2","dm.minus",-10742
"7193","2005","11","01","Tuesday",0,"SH",20,2,"R",1.32,1602.5,1204.71,19.51,1.8,13.91,0.102441734,93.52,8.25,3.01,31.61328125,2,0,"5",320.12,0,0.366666666666667,"2","dm.minus",-10717
"7195","2005","11","01","Tuesday",0,"SC",19,1,"R",1.49,1667,1457.68,27.88,1.47,13.96,0,299.115,6.86,5.57,6.473632813,1,0,"5",570.74,0,0.4,"2","dm.minus",-10719
"7206","2005","11","02","Wednesday",0,"SO",20,1.54,"P",1.13,630,342.76,25,1,23,0.165759353,0,10,3,41.7265625,1.03,2.36,"3",0,1,0.233333333333333,"2","dm.minus",-10790
"7207","2005","11","02","Wednesday",0,"SN",22,1,"P",1,1550,726.98,3,2,12,0.398334098,39.72,8,4,59.875,1,1,"3",560,1,0.1,"2","dm.minus",-10794
"7208","2005","11","02","Wednesday",0,"SB",28,1,"P",1.17,1206,699.47,27,1,10,0.088952311,60.03,2,2.96,62.0234375,1,2,"3",0,1,0.2,"2","dm.minus",-10780
"7210","2005","11","02","Wednesday",0,"SE",22,1,"P",1.49,877.5,427.7,8,1,5,0.165112125,890,5,2.65,76.640625,1.29,2,"3",0,1,0.2,"2","dm.minus",-10778
"7212","2005","11","02","Wednesday",200,"SC",19,1,"P",1.18,728,579.32,23.14,1.17,16.91,0.535713963,93.33,9.78,1.15,61.453125,1.14,2.12,"5",94.7499999999998,0,0.433333333333333,"2","dm.minus",-10786
"7213","2005","11","02","Wednesday",0,"SN",39,1,"R",1.31,1977.5,1307.22,21,2,8.29,0.466526299,159,4,10,58.0625,1.18,2.13,"3",0,1,0.233333333333333,"2","dm.minus",-10796
"7214","2005","11","02","Wednesday",1,"SD",22,1,"R",1.44,1400,218,9,2,29.36,0,126,11.25,2,64.640625,2,1,"1",0,2,0.133333333333333,"2","dm.minus",-10774
"7215","2005","11","02","Wednesday",460,"SO",19,2,"P",1.22,523.5,378.89,27,1,15.04,0.045431298,107.78,9.27,1.46,18.51171875,1,1,"3",0,1,0.3,"2","dm.minus",-10779
"7216","2005","11","02","Wednesday",1,"SK",24,1.43,"R",1.1,686.5,502.4,12,1,12.44,0.118409584,44,8.12,1.51,53.4375,1.05,4,"3",0,1,0.3,"2","dm.minus",-10788
"7217","2005","11","02","Wednesday",0,"SA",25,2,"R",1,200,247,3,1,11.11,0.175352651,44,8.49,1.48,55.6953125,3,1,"3",0,1,0.133333333333333,"2","dm.minus",-10777
"7218","2005","11","02","Wednesday",1,"SO",18,1,"R",1.19,670.5,539.44,21.51,1.2,14.41,0.089782878,67.4066666666667,8.06,0,68.859375,1,2,"5",69.84,0,0.333333333333333,"2","dm.minus",-10782
"7219","2005","11","02","Wednesday",1,"SA",18,1,"R",1.03,886,704.15,19.78,1.21,9.98,0,49.89,5.73,0.58,42.1987500001,1.05,2.35,"4",79.7799999999997,0,0.5,"2","dm.minus",-10787
"7223","2005","11","03","Thursday",0,"SC",23,1,"P",1.26,1450,0,7,1,64,0.030067564,40,21,5,69.71875,1,1,"3",0,1,0.1,"2","dm.minus",-10813
"7224","2005","11","03","Thursday",0,"SO",20,1,"R",2.6,700,434,23,4,47,0.088467374,199.972666666667,15,2.56,74.609375,3,2,"2",2860,3,0.133333333333333,"2","dm.minus",-10824
"7225","2005","11","03","Thursday",0,"SO",19,1,"R",1.39,855.5,642.16,19.97,1.32,23,0,88.3033333333333,7,1,34.5,1.07,2.08,"5",91.8999999999998,0,0.333333333333333,"2","dm.minus",-10828
"7226","2005","11","03","Thursday",1,"SO",20,1,"P",1.58,2100,1086,9,3,23,0.069964944,0,10,2,56.515625,2,0,"3",792,2,0.0666666666666667,"2","dm.minus",-10808
"7227","2005","11","03","Thursday",0,"SD",22,3,"P",1.2,1498,624.31,21,1.7,19,0.539188713,0,14,4,31.14453125,1,2,"5",651.55,0,0.2,"2","dm.minus",-10817
"7229","2005","11","03","Thursday",1,"SD",20,1,"R",1.09,1310,913.39,21.77,1.34,9,0.522970717,52.65,5,1.59,70.890625,1.09,2.48,"5",19.6799999999996,0,0.4,"2","dm.minus",-10839
"7230","2005","11","03","Thursday",0,"SO",20,1,"P",1.36,200,352.19,16,2,4,0.171458536,0,6,1,53.609375,2,1,"3",0,1,0.1,"2","dm.minus",-10815
"7232","2005","11","03","Thursday",1,"SA",18,1,"P",1.47,554.5,497.97,21.59,1.37,4,0.77156706,157.99,0,0,49.1953125,1,1,"5",72.52,0,0.266666666666667,"2","dm.minus",-10833
"7233","2005","11","03","Thursday",1400,"SN",45,2,"H",2.1,3900,2168,21,22,2,0.225945635,53,4,16,61.7421875,1,1,"3",0,3,0.0666666666666667,"2","dm.minus",-10826
"7234","2005","11","03","Thursday",0,"SO",25,1,"R",1.68,747,799.06,26,2,12,0.022351874,174.51,6.13,1.64,41.125,1,1.18,"3",0,2,0.3,"2","dm.minus",-10806
"7235","2005","11","03","Thursday",600,"SA",16,1.03,"P",1.2,873,660.09,21.14,1.26,10.81,0.186667014,49.49,8.33,0.379999999999999,49.51606445313,1.04,1.98,"5",38.4599999999996,0,0.5,"2","dm.minus",-10844
"7236","2005","11","03","Thursday",0,"SA",19,1,"P",1.07,829,626.76,20.12,1.15,13,0.029970857,41.64,5,0,51.5390625,1.03,2.44,"5",37.3099999999996,0,0.333333333333333,"2","dm.minus",-10846
"7237","2005","11","03","Thursday",860,"SD",24,1,"H",6,12900,6790,2,5,24.97,0,0,11.34,1,58.14667968755,3,1,"3",105,5,0.133333333333333,"2","dm.minus",-10818
"7238","2005","11","03","Thursday",600,"SC",25,0,"R",1.38,1219,835.01,12,3,13.13,0,104,7.23,0,41.2734375,1,3,"3",47,2,0.2,"2","dm.minus",-10825
"7239","2005","11","03","Thursday",900,"SO",22,2,"H",1.48,3000,1210,8,3,22.09,0.00682585,36,11.9383333333333,3.47,79.3125,1,3,"3",896,3,0.166666666666667,"2","dm.minus",-10819
"7241","2005","11","03","Thursday",0,"SB",21,2,"P",1.72,753.5,560.89,14,2,13.96,0.305062029,320,7.14,2.17,54.390625,1,0,"2",0,2,0.233333333333333,"2","dm.minus",-10841
"7242","2005","11","03","Thursday",0,"SB",18,1,"R",1.36,200,368.18,31,1,13.53,0.164005802,111.76,6.96,0.8,49.625,1,1,"3",0,1,0.233333333333333,"2","dm.minus",-10836
"7244","2005","11","03","Thursday",120,"SO",18,0.96,"P",1.3,644,560.21,20.68,1.21,9.49,0.131132043,62.87,4.78,0.209999999999999,48.4296875,1,0,"5",54.5,0,0.4,"2","dm.minus",-10816
"7248","2005","11","03","Thursday",0,"SA",22,2,"P",1.06,1120,737.55,19.94,1.27,8.84,0.087310427,37.64,5.78,1.9,58.5546875,1.04,2.47,"5",49.6399999999997,0,0.433333333333333,"2","dm.minus",-10799
"7255","2005","11","04","Friday",0,"SG",17,1,"P",1.27,1208.5,679.17,24.93,1.32,66,0,60.39,8,0.94,81.71875,1.04,1.93,"5",91.7199999999997,0,0.366666666666667,"2","dm.minus",-10885
"7256","2005","11","04","Friday",0,"SE",19,2,"P",1.2,999,484.68,12,3,31,0.351845922,52.94,7,0,47.21875,1.06,3,"3",0,1,0.2,"2","dm.minus",-10862
"7257","2005","11","04","Friday",0,"SM",18,1,"P",1.05,555,231.51,37,1,30,0.027561488,28.965,6,0.419999999999999,71.078125,1.02,2.15,"3",0,1,0.266666666666667,"2","dm.minus",-10858
"7258","2005","11","04","Friday",0,"SE",23,1,"P",1.22,981,493.93,18,1,15,0.15161002,48.31,9,4,67.828125,2,0,"3",24,1,0.166666666666667,"2","dm.minus",-10861
"7259","2005","11","04","Friday",0,"SA",22,1,"R",1,1241.5,626.58,4,5,13,0.389425082,0,11,3,50.8359375,1,1.60333333333333,"3",10,3,0.133333333333333,"2","dm.minus",-10851
"7260","2005","11","04","Friday",1,"SL",19,2,"P",1,950,1,5,1,11,0.117195174,26.84,24,2,43.9921875,1.1,2.38,"3",0,1,0.133333333333333,"2","dm.minus",-10853
"7263","2005","11","04","Friday",1,"SC",23,3,"P",1.2,1014.5,742.11,22.57,1.24,6,0.072393302,68.58,10.08,2.51,70.078125,1.01,1.95,"5",100.26,0,0.4,"2","dm.minus",-10856
"7266","2005","11","04","Friday",1,"SL",24,1,"P",1.05,250,0,13,1,6,0.095536106,35.07,11.76,2.36,62.796875,1.05,2.46,"3",0,1,0.233333333333333,"2","dm.minus",-10880
"7267","2005","11","04","Friday",0,"SA",18,1,"P",2,754,280.7,6,2,25,0.01361766,0,10,0,91.28125,1,2,"3",0,2,0.1,"2","dm.minus",-10886
"7269","2005","11","04","Friday",0,"SB",22,4,"H",1.3,350,0,10,1,1,0.023554539,79,7.56,3,41.296875,1,4,"3",1544,1,0.1,"2","dm.minus",-10860
"7270","2005","11","04","Friday",0,"SF",18,1,"P",1.18,858,615.08,22.38,1.23,15.81,0.048875324,70.19,7.65,0.77,71.125,1,1,"5",129.52,0,0.366666666666667,"2","dm.minus",-10889
"7271","2005","11","04","Friday",0,"SF",20,2,"P",1.2,1085,723.82,18,3,12.17,0.092994935,50,8.19,2,51.6171875,1,1,"5",209.46,0,0.233333333333333,"2","dm.minus",-10871
"7272","2005","11","04","Friday",0,"SD",21,1,"R",1,1050,493.49,2,1,18.42,0,25,9.52,2.1,75.125,1,1,"3",313,1,0.166666666666667,"2","dm.minus",-10869
"7284","2005","11","05","Saturday",10,"SB",20,2,"P",1.2,50,288.68,8,2,48,0.13582056,35,10.4,2.03,65.359375,1,4,"3",0,2,0.2,"2","dm.minus",-10920
"7285","2005","11","05","Saturday",0,"SO",19,2,"P",1.04,349.5,242.15,13,1,18,0.300621735,34.09,2,1.19,81.21875,1.03,2.4,"3",0,1,0.266666666666667,"2","dm.minus",-10903
"7287","2005","11","05","Saturday",100,"SO",18,1.05,"P",1.13,655,514.35,19.12,1.25,5,0,26.28,18,0,65.421875,1,1.74,"5",60.0099999999996,0,0.366666666666667,"2","dm.minus",-10898
"7288","2005","11","05","Saturday",0,"SM",23,5,"P",1.18,1450,618.37,27,1,3,0,0,0,3.94,76.640625,1,1.42,"3",1251,1,0.166666666666667,"2","dm.minus",-10905
"7289","2005","11","05","Saturday",0,"SE",19,1,"P",1.07,629.5,542,18,1.1,3,0.020885384,22.18,3,1,62.65625,1,1,"5",36.9999999999999,0,0.233333333333333,"2","dm.minus",-10925
"7291","2005","11","05","Saturday",0,"SL",20,1,"P",2,150,345.08,3,3,15.42,0.440193368,260,7.43,2.22,58.3515625,3,1,"3",259,2,0.166666666666667,"2","dm.minus",-10918
"7293","2005","11","05","Saturday",0,"SF",25,2,"R",1.11,250,155,20,1,22.6,0.043230108,55,10.59,2.3,83.59375,1,2,"3",1292,1,0.166666666666667,"2","dm.minus",-10904
"7294","2005","11","05","Saturday",0,"SE",20,1,"P",1.11,600.5,262.64,12,1,9,0.260234023,1,22,1.88,70.4375,1,1,"3",0,1,0.166666666666667,"2","dm.minus",-10924
"7295","2005","11","05","Saturday",1,"SO",23,1.38,"P",1.12,791,872.62,23.08,1.51,9.7,0,33.87,8.82,2.62,23.140625,1,0,"5",179.23,0,0.4,"2","dm.minus",-10900
"7296","2005","11","05","Saturday",0,"SC",21,2,"R",1.04,873.5,545.07,19.16,1.22,12.77,0,33.03,7.54,1.37,52.75,1.05,2.71,"5",35.0299999999997,0,0.433333333333333,"2","dm.minus",-10916
"7298","2005","11","05","Saturday",0,"SG",21,1,"P",1.09,1083,650.68,22.8,1.42333333333333,13.88,0,37.31,11.51,2.64,52.904140625,1.06,2.62,"4",53.1299999999997,0,0.466666666666667,"2","dm.minus",-10895
"7299","2005","11","05","Saturday",0,"SH",18,1,"R",1.04,941,622.49,18.598,1.25,11.99,0,31.99,8.08,1,49.8455664063,1.04,2.63,"4",86.3599999999997,0,0.466666666666667,"2","dm.minus",-10891
"7307","2005","11","08","Tuesday",0,"SO",19,1,"P",2,717,307.91,3,1,50,0.133253371,0,27,0,55.875,1.365,1.99,"3",0,1,0.166666666666667,"2","dm.minus",-10945
"7308","2005","11","08","Tuesday",0,"SC",20,2,"R",1.26,677.5,450.92,15,2,29,0.022297887,56,8,0,55.5546875,2,0,"3",0,1,0.133333333333333,"2","dm.minus",-10938
"7309","2005","11","08","Tuesday",1,"SD",20,2,"P",1.12,1923.5,1012.14,14,2,24,0.27601103,66.45,8,7,47.8125,1,2,"1",1067,2,0.166666666666667,"2","dm.minus",-10949
"7310","2005","11","08","Tuesday",0,"SA",18,1,"P",2.07,632.5,556.45,15.85,1.46,20,0.182719494,148.12,2,1.65,58.921875,4,0,"5",96.11,0,0.3,"2","dm.minus",-10946
"7313","2005","11","08","Tuesday",1300,"SH",26,1,"R",1.49,2929,912.36,8,2,10,0.492010706,380,27,8,64.171875,1.22,2,"3",0,1,0.166666666666667,"2","dm.minus",-10974
"7315","2005","11","08","Tuesday",0,"SC",21,4,"P",1.14,926,516.26,20,2,5,0.022689138,1,7,4,75.46875,1,0.97,"3",0,2,0.166666666666667,"2","dm.minus",-10970
"7316","2005","11","08","Tuesday",0,"SO",19,1,"P",1.13,1200,496,13,1,3,0.033863864,27.03,0,0,66.796875,1,0,"3",0,1,0.1,"2","dm.minus",-10964
"7317","2005","11","08","Tuesday",0,"SB",23,1,"P",1,1030.5,800.82,2,1.69,2,0.23517336,0,7.85,3.59,68.4375,1,1,"5",113.94,0,0.266666666666667,"2","dm.minus",-10947
"7318","2005","11","08","Tuesday",1,"SF",45,4,"R",1.25,500,1234.15,47,1,2,0.255926558,54,7.22,4.2,68.109375,1,1.1,"3",279,1,0.233333333333333,"2","dm.minus",-10952
"7319","2005","11","08","Tuesday",1,"SC",45,1,"H",1,9750,9331,5,5,1,0.052202545,20,0,4,47.921875,2,2,"3",0,2,0.0333333333333333,"2","dm.minus",-10953
"7320","2005","11","08","Tuesday",1,"SO",19,1.05,"P",1.12,606.5,510.96,17,1.16,1,0.512425507,38.14,4,0.96,70.46875,1,0,"5",77.57,0,0.3,"2","dm.minus",-10942
"7321","2005","11","08","Tuesday",0,"SO",22,5,"P",1.2,950,531.66,39,2,19.26,0.111243118,27.28,12.97,3.93,55.40625,1,0,"3",298,2,0.233333333333333,"2","dm.minus",-10955
"7322","2005","11","08","Tuesday",0,"SM",29,3,"P",1.21,2174.5,1362.85,49,1.45,16,0.255392627,42.81,12,12,61.734375,1,0,"5",556.03,0,0.233333333333333,"2","dm.minus",-10943
"7323","2005","11","08","Tuesday",0,"SO",27,3,"R",1.9,956.5,1053.23,22,1,10.77,0.189704231,108.4,6.64,2.37,48.515625,3,0,"2",277.41,0,0.3,"2","dm.minus",-10979
"7324","2005","11","08","Tuesday",0,"SA",19,1,"P",1.05,492,227.92,20,1,16.15,0.108729854,0,11.36,0.95,80.625,1,1,"3",0,1,0.233333333333333,"2","dm.minus",-10928
"7326","2005","11","08","Tuesday",0,"SB",18,1,"P",1.3,443,480.83,8,1,13.18,0.249301745,83.27,5.96,0.62,30.890625,2,1,"3",0,1,0.266666666666667,"2","dm.minus",-10936
"7327","2005","11","08","Tuesday",0,"SB",20,2,"P",1,150,263.58,5,1,43,0.229423357,35,12,1,57.6328125,2,0,"3",0,1,0.0666666666666667,"2","dm.minus",-10939
"7328","2005","11","08","Tuesday",0,"SN",26,1,"R",1.11,4050,310,7,1,13.31,0.074419025,0,8.72,1,57.5859375,1,1.15,"3",2040,1,0.2,"2","dm.minus",-10948
"7329","2005","11","08","Tuesday",500,"SB",20,1.57,"R",1.09,1137,962.97,19.74,1.51,12.05,0.150938692,29.48,6.79,2.05,58.984375,1,0,"5",176.45,0,0.4,"2","dm.minus",-10944
"7330","2005","11","08","Tuesday",0,"SH",19,2,"R",1.15,1625,992.33,21.39,1.41,10.96,0.257064883,47.93,6.79,1.74,35.3828125,1,0,"5",355.55,0,0.366666666666667,"2","dm.minus",-10968
"7331","2005","11","08","Tuesday",0,"SO",24,1.46,"R",1.15,1314,1152.12,21.65,1.35,11.03,0.045164996,26.34,6.2,2.23,74.53125,1,0,"5",141.1,0,0.4,"2","dm.minus",-10933
"7332","2005","11","08","Tuesday",0,"SJ",21,2,"P",1.15,1478,897.96,25.49,1.51,11.85,0,34.14,10.19,4.1,30.58203125,1,0,"5",395.47,0,0.366666666666667,"2","dm.minus",-10932
"7333","2005","11","08","Tuesday",20,"SA",19,1.08,"R",1.04,1028,763.27,22.98,1.13,11.05,0,30.38,6.89,1.15,46.877890625,1.04,2.03,"5",83.9099999999997,0,0.533333333333333,"2","dm.minus",-10980
"7334","2005","11","08","Tuesday",0,"SO",22,1,"R",1.09,1074,972.16,25.13,1.2,9.92,0,29.64,7.23,2.12,45.59375,1.06,1.93,"5",49.5799999999997,0,0.433333333333333,"2","dm.minus",-10967
"7335","2005","11","08","Tuesday",1,"SB",18,1,"R",1.08,934.5,879.57,21.52,1.12,12.18,0.219709514,33.2,7.68,0.58,59.8984375,1.06,1.81,"5",72.2799999999997,0,0.466666666666667,"2","dm.minus",-10963
"7341","2005","11","09","Wednesday",2000,"SD",20,1.64,"P",2,350,187,2,2,64,0.045662335,0,10,2.06,64.765625,1,1,"3",0,2,0.1,"2","dm.minus",-11017
"7342","2005","11","09","Wednesday",40,"SL",18,1,"P",1.33,978.5,568.45,56,3,34,0.571172429,53.48,19,2.12,56.109375,1,1.09,"3",0,2,0.233333333333333,"2","dm.minus",-10983
"7343","2005","11","09","Wednesday",1,"SO",19,1,"P",1,650,124,2,1,26,0.079983036,29.07,7,0,46.5,2,1,"3",0,1,0.0666666666666667,"2","dm.minus",-10995
"7345","2005","11","09","Wednesday",0,"SO",20,3,"R",1.05,545.5,254.96,9,1,22,0,0,14,1,84.109375,1.03,3,"3",0,1,0.166666666666667,"2","dm.minus",-11018
"7346","2005","11","09","Wednesday",0,"SC",19,1,"P",1.06,285,206.88,14,1,20,0,35,1,0.77,77.65625,1,1.19,"3",0,1,0.266666666666667,"2","dm.minus",-11008
"7347","2005","11","09","Wednesday",0,"SE",21,3,"R",1.15,1900,962,16,2,15,0,71,10,3,80.21875,1.05,3,"2",468.46,0,0.133333333333333,"2","dm.minus",-10985
"7349","2005","11","09","Wednesday",1400,"SO",33,1.41,"R",1.47,1833.75,847.79,18,2,11,0.777787825,70.94,26,7.04,25.91015625,1,1,"5",210.24,0,0.266666666666667,"2","dm.minus",-11010
"7350","2005","11","09","Wednesday",800,"SE",21,1,"P",1,1900,1240,5,1,9,0,50,3,3,46.5078125,2,1,"3",0,1,0.0333333333333333,"2","dm.minus",-10999
"7352","2005","11","09","Wednesday",800,"SO",21,1.78,"R",1,300,0,3,2,4,0.408275703,0,10.22,2.47,50.296875,1,2,"3",0,2,0.133333333333333,"2","dm.minus",-11013
"7353","2005","11","09","Wednesday",660,"SB",17,1.09,"P",1.45,840.5,689.42,19.84,1.37,3,0.278183455,77.37,6.18,0,66.875,1,0,"5",111.21,0,0.333333333333333,"2","dm.minus",-11012
"7355","2005","11","09","Wednesday",0,"SO",25,1,"P",1,750,527,5,1.56,26,0.279902717,1,19,4.33,83.875,1,2,"5",167.84,0,0.133333333333333,"2","dm.minus",-11006
"7356","2005","11","09","Wednesday",400,"SO",20,1,"P",1,422.5,378,6,1,1,0.531299714,36,6.9,1.52,49.1328125,2,1,"3",0,1,0.166666666666667,"2","dm.minus",-10981
"7357","2005","11","09","Wednesday",0,"SE",23,1,"P",1.12,1652.5,1790.72,13,2,19.1,0.023105732,76,13.81,17,39.09375,1.06,2.71,"3",0,1,0.266666666666667,"2","dm.minus",-10990
"7358","2005","11","09","Wednesday",0,"SD",29,2,"H",1.15,750,1152.33,13,1,8.06,0.200117481,54,7.83,3,46,1,1,"5",131.71,0,0.2,"2","dm.minus",-11001
"7360","2005","11","09","Wednesday",0,"SA",18,1,"P",1.11,807.5,604.42,21.8,1.13,71,0,37.865,6,0,57.8046875,1.06,2.17,"5",74.7499999999996,0,0.333333333333333,"2","dm.minus",-10987
"7363","2005","11","09","Wednesday",0,"SL",20,1,"R",1.13,898.5,680.52,17.29,1.25,13.76,0.254479323,48.96,7.07,1.33,67.03125,1,0,"5",146.26,0,0.366666666666667,"2","dm.minus",-10993
"7364","2005","11","09","Wednesday",240,"SO",23,1.48,"R",1.2,1042,952.43,19.18,1.58,8.31,0,81.63,4.85,1.95,12.3046875,1.18,2.31,"5",36.2499999999997,0,0.466666666666667,"2","dm.minus",-11015
"7366","2005","11","09","Wednesday",0,"SO",21,2,"R",1.08,926.5,769.6,18.18,1.26,8.4,0.234471974,57.88,5.56,1.37,26.62109375,1.06,2.45,"5",94.5599999999998,0,0.433333333333333,"2","dm.minus",-11002
"7367","2005","11","09","Wednesday",0,"SK",21,3,"R",1.04,1033.25,739.2,18.54,1.26,11.68,0.104694954,34.17,7,0,64.875,1.03,2.45,"5",144.57,0,0.4,"2","dm.minus",-10986
"7372","2005","11","10","Thursday",1,"SM",27,2,"R",1.21,1450,1612,15,1,32,0.025823331,47.89,21,8,59.7265625,1,1,"3",1590,1,0.1,"2","dm.minus",-11035
"7373","2005","11","10","Thursday",0,"SL",20,1,"P",1.19,794.75,467.97,16,3,29,0.072790889,45.09,8,2,79.703125,1,1.22,"3",169,2,0.2,"2","dm.minus",-11042
"7374","2005","11","10","Thursday",0,"SA",19,2,"P",1,487.5,198.13,3,1,19,0.087126981,0,10,0,48.34375,1.06,3,"3",0,1,0.133333333333333,"2","dm.minus",-11045
"7377","2005","11","10","Thursday",1,"SE",18,1,"R",1,2556.5,1313.13,3,1,6,0,25.06,22,17,71.59375,1,1,"3",0,1,0.133333333333333,"2","dm.minus",-11049
"7378","2005","11","10","Thursday",0,"SO",21,2,"P",1.13,2079.5,1202.52,30.44,1.4,3,0.03962266,30.89,8.5,5.95,77.765625,1,1,"5",630.34,0,0.333333333333333,"2","dm.minus",-11038
