"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","id","app_id","GOOD"
"4796","2005","09","16","Friday",1,"SB",19,1,"P",1,1900,217,32,1,2,0,45,2,1,69.296875,1,1,"3",0,1,"dm",-7186,NA
"4799","2005","09","16","Friday",0,"SO",20,1,"P",1,350,652,15,1,3,0.118900854,49,4,1,55.3359375,1,0,"5",0,0,"dm",-7115,NA
"4802","2005","09","16","Friday",0,"SH",18,0,"P",1,500,155,7,1,2,0.032652883,59,0,0,50.1328125,1,3,"3",0,1,"dm",-7117,NA
"4803","2005","09","16","Friday",0,"SB",18,0,"P",1,1450,29,7,2,2,0,0,21,1,54.59375,1,0,"5",447,0,"dm",-7227,NA
"4805","2005","09","16","Friday",1,"SA",19,1,"R",1,150,216,31,1,2,0.288841669,40,11,2,40.171875,1,0,"3",45,1,"dm",-7256,NA
"4807","2005","09","16","Friday",1,"SO",22,1,"P",2,200,433,8,2,2,0.084389865,65,1,2,54.71875,1,1,"3",0,2,"dm",-7174,NA
"4808","2005","09","16","Friday",0,"SA",20,1,"P",1,1450,0,8,1,2,0,0,25,1,59.109375,1,3,"5",30,0,"dm",-7274,NA
"4810","2005","09","16","Friday",0,"SN",28,0,"R",1,150,1983,3,5,13,0.377866561,345,12,2,26.41796875,1,0,"5",0,0,"dm",-7272,NA
"4811","2005","09","16","Friday",0,"SO",37,1,"R",1,1400,185,28,1,1,0,0,7,6,37.5859375,1,0,"3",1275,1,"dm",-7133,NA
"4812","2005","09","16","Friday",0,"SM",19,1,"P",1,50,63,5,1,7,0.483245772,35,5,1,49.640625,2,0,"3",0,1,"dm",-7163,NA
"4814","2005","09","16","Friday",0,"SA",46,1,"R",1,3950,1489,14,3,2,0.041404075,0,3,3,41.609375,1,0,"3",2990,3,"dm",-7162,NA
"4816","2005","09","16","Friday",1,"SA",19,1,"P",3,10800,3378,4,2,1,0.397566269,34,10,13,71.96875,2,1,"3",0,2,"dm",-7109,NA
"4817","2005","09","16","Friday",0,"SH",20,0,"P",2,50,216,17,2,3,0.039192915,0,18,2,74.984375,1,0,"3",0,2,"dm",-7247,NA
"4818","2005","09","16","Friday",0,"SK",22,1,"R",1,950,279,3,2,3,0,105,4,0,52.8984375,2,1,"3",312,2,"dm",-7232,NA
"4820","2005","09","16","Friday",0,"SA",20,1,"P",1,950,1488,28,1,2,0.290878968,0,20,0,37.890625,1,2,"5",799,0,"dm",-7221,NA
"4822","2005","09","16","Friday",0,"SA",18,1,"P",1,250,0,3,1,29,0,40,10,0,83.515625,1,3,"3",0,1,"dm",-7181,NA
"4824","2005","09","16","Friday",120,"SA",19,1,"P",1,500,744,11,1,4,0.368751378,0,1,1,51.140625,1,0,"5",1134,0,"dm",-7143,NA
"4825","2005","09","16","Friday",0,"SO",19,1,"R",1,3300,0,5,2,4,0.025535393,125,1,0,77.359375,1,4,"3",0,2,"dm",-7156,NA
"4827","2005","09","16","Friday",0,"SA",19,1,"P",3,10800,3377,4,2,2,0.366980615,33,26,14,75.5625,2,1,"3",0,2,"dm",-7106,NA
"4828","2005","09","16","Friday",500,"SO",21,1,"R",1,900,1858,9,1,5,0,0,13,0,49.6875,1,1,"4",0,0,"dm",-7266,NA
"4829","2005","09","16","Friday",200,"SO",21,1,"R",2,1900,9795,15,1,15,0,0,0,0,31.69921875,1,2,"4",0,0,"dm",-7265,NA
"4830","2005","09","16","Friday",0,"SO",20,1,"P",1,50,0,4,1,5,0.036758015,46,22,0,51.0625,1,0,"5",419,0,"dm",-7262,NA
"4834","2005","09","16","Friday",0,"SD",18,1,"R",1,9550,4217,3,2,10,0.507655263,0,6,3,60.578125,1,0,"3",47,2,"dm",-7273,NA
"4835","2005","09","16","Friday",1,"SB",18,1,"P",2,50,63,24,1,8,0,34,6,0,71.671875,1,0,"3",0,1,"dm",-7206,NA
"4836","2005","09","16","Friday",0,"SD",20,1,"R",1,250,218,2,1,2,0.22218951,0,0,1,41.75,1,3,"5",0,0,"dm",-7217,NA
"4839","2005","09","16","Friday",1,"SO",24,1,"P",1,2300,0,10,1,23,0.074270149,0,27,6,67.5625,1,0,"5",254,0,"dm",-7125,NA
"4842","2005","09","16","Friday",120,"SO",16,0,"P",1,1500,123,1,1,9,0.258895,0,17,0,21.50390625,1,0,"5",0,0,"dm",-7122,NA
"4843","2005","09","16","Friday",0,"SC",18,1,"P",1,250,0,11,1,7,0.3907338,35,11,10,66.90625,1,1,"5",202,0,"dm",-7087,NA
"4846","2005","09","16","Friday",0,"SF",18,0,"P",1,400,1674,25,1,12,0.066298951,140,10,0,84.34375,1,0,"5",0,0,"dm",-7078,NA
"4847","2005","09","16","Friday",1000,"SD",23,1,"R",1,150,1,9,1,2,0,45,6,2,62.0703125,1,4,"3",194,1,"dm",-7077,NA
"4851","2005","09","16","Friday",0,"SF",25,0,"P",1,2900,0,16,2,14,0.117218549,0,19,7,56.4921875,1,1,"3",0,1,"dm",-7132,NA
"4893","2005","09","17","Saturday",0,"SO",17,1,"P",1,950,248,5,1,58,0,0,7,0,57.84375,1,2,"5",0,0,"dm",-7488,NA
"4895","2005","09","17","Saturday",0,"SO",18,1,"R",1,5300,1983,10,1,51,0,270,26,0,49.8515625,1,4,"5",2040,0,"dm",-7508,NA
"4898","2005","09","17","Saturday",0,"SA",19,1,"P",1,250,0,8,2,33,0.066945967,1,5,0,80.515625,1,3,"3",0,1,"dm",-7437,NA
"4899","2005","09","17","Saturday",0,"SO",21,1,"P",1,500,466,7,1,28,0.273172759,1,4,3,55.40625,1,2,"3",0,1,"dm",-7332,NA
"4906","2005","09","17","Saturday",0,"SL",23,1,"P",1,7600,4587,21,2,25,0.083982901,1,16,5,99.5625,1,1,"3",0,2,"dm",-7477,NA
"4909","2005","09","17","Saturday",0,"SC",18,1,"P",1,250,1705,3,1,20,0,0,6,0,49.8828125,1,1,"5",193,0,"dm",-7504,NA
"4911","2005","09","17","Saturday",500,"SB",21,1,"P",1,950,188,5,5,19,0.135103305,24,16,4,45.546875,1,2,"3",0,4,"dm",-7392,NA
"4914","2005","09","17","Saturday",0,"SH",19,1,"P",1,300,434,25,1,16,0,305,10,2,44.3828125,1,4,"3",0,1,"dm",-7375,NA
"4918","2005","09","17","Saturday",1,"SO",19,0,"P",1,100,0,16,1,13,0.167827451,21,0,0,48.5078125,1,0,"5",457,0,"dm",-7510,NA
"4923","2005","09","17","Saturday",0,"SO",21,1,"P",1,500,0,4,1,10,0.185876217,30,12,3,31.4296875,1,4,"3",0,1,"dm",-7311,NA
"4925","2005","09","17","Saturday",0,"SO",18,1,"P",1,1550,1426,8,1,9,0.117269136,0,4,0,56.9296875,1,3,"5",202,0,"dm",-7314,NA
"4926","2005","09","17","Saturday",0,"SO",18,1,"P",1,700,32,8,1,9,0.107640751,0,5,0,59.375,1,3,"5",2141,0,"dm",-7304,NA
"4930","2005","09","17","Saturday",0,"SO",18,0,"P",2,200,1,24,1,8,0,0,5,0,85.828125,2,1,"5",13,0,"dm",-7461,NA
"4931","2005","09","17","Saturday",0,"SN",19,1,"P",1,100,1456,47,1,9,0.152766819,0,0,0,32,1,3,"3",0,1,"dm",-7312,NA
"4932","2005","09","17","Saturday",0,"SH",18,0,"P",1,300,154,1,1,8,0,59,20,0,73.453125,1,0,"5",0,0,"dm",-7370,NA
"4933","2005","09","17","Saturday",1,"SO",25,1,"H",1,100,0,2,2,7,0,0,13,0,55.9296875,2,1,"3",27,2,"dm",-7449,NA
"4934","2005","09","17","Saturday",0,"SC",19,1,"P",1,750,527,7,1,6,0,0,1,0,77.34375,1,3,"3",0,1,"dm",-7493,NA
"4937","2005","09","17","Saturday",0,"SH",18,1,"P",2,750,1488,5,1,7,0.104396116,635,2,0,63.515625,1,0,"3",0,1,"dm",-7290,NA
"4938","2005","09","17","Saturday",0,"SO",21,2,"P",2,500,712,10,2,4,0.359087905,90,15,2,46.4921875,1,1,"3",0,1,"dm",-7380,NA
"4939","2005","09","17","Saturday",0,"SH",19,0,"P",1,950,0,12,1,5,0,1,14,1,84.625,1,0,"3",0,1,"dm",-7363,NA
"4940","2005","09","17","Saturday",1,"SL",21,1,"P",1,500,713,2,1,5,0.270718911,140,17,1,48.359375,1,4,"3",0,1,"dm",-7275,NA
"4942","2005","09","17","Saturday",0,"SB",22,0,"P",1,1750,217,26,1,3,0.134242158,75,7,4,83.375,1,4,"5",2,0,"dm",-7367,NA
"4943","2005","09","17","Saturday",0,"SN",40,1,"R",4,500,31,20,5,2,0.141215252,69,19,12,68.484375,1,4,"3",286,3,"dm",-7384,NA
"4944","2005","09","17","Saturday",0,"SB",20,2,"P",3,950,186,15,3,3,0.140178286,0,15,2,65.640625,1,0,"3",0,3,"dm",-7395,NA
"4945","2005","09","17","Saturday",0,"SB",20,2,"P",3,650,247,39,1,2,0.206146369,0,2,0,53.9140625,2,1,"3",1300,1,"dm",-7390,NA
"4948","2005","09","17","Saturday",0,"SO",42,1,"R",2,3100,495,3,3,1,0.234177783,1,4,0,71.859375,1,3,"3",0,3,"dm",-7345,NA
"4949","2005","09","17","Saturday",0,"SF",20,1,"P",1,8000,1766,12,2,4,0.2476936,70,14,5,67.546875,1,1,"2",0,0,"dm",-7458,NA
"4951","2005","09","17","Saturday",500,"SO",30,1,"R",1,50,0,14,4,9,0,0,0,0,42.515625,2,1,"3",0,2,"dm",-7282,NA
"4953","2005","09","17","Saturday",0,"SB",18,1,"P",1,350,32,3,2,32,0,0,22,1,66.203125,2,0,"3",0,1,"dm",-7361,NA
"4955","2005","09","17","Saturday",0,"SM",28,1,"R",3,2000,122,15,1,11,0,111,5,0,75.3125,3,1,"3",0,1,"dm",-7349,NA
"4956","2005","09","17","Saturday",600,"SC",23,1,"R",1,100,31,12,1,9,0.490680495,0,7,1,66.34375,1,1,"3",0,1,"dm",-7277,NA
"4957","2005","09","17","Saturday",0,"SD",27,1,"R",1,950,744,11,1,4,0.000928953,420,0,2,65.15625,1,3,"3",0,1,"dm",-7405,NA
"4959","2005","09","17","Saturday",40,"SH",18,1,"P",1,50,1,51,1,1,0,0,25,2,81.625,1,0,"3",0,1,"dm",-7318,NA
"4960","2005","09","17","Saturday",0,"SN",23,1,"R",1,1550,0,8,1,8,0.083140989,1,20,0,68.0625,1,3,"3",761,1,"dm",-7379,NA
"4962","2005","09","17","Saturday",0,"SN",21,1,"P",1,750,31,5,1,2,0.365797659,0,14,0,17.55078125,2,0,"3",0,1,"dm",-7440,NA
"4963","2005","09","17","Saturday",0,"SO",19,0,"R",1,550,278,9,1,12,1.149641331,0,8,1,61.6171875,1,4,"3",0,1,"dm",-7476,NA
"4964","2005","09","17","Saturday",1,"SN",19,1,"H",3,950,154,4,1,13,0.084802448,76,17,0,68.8125,3,0,"3",0,1,"dm",-7381,NA
"4965","2005","09","17","Saturday",1,"SO",19,4,"R",2,200,217,2,1,39,0.227554862,0,1,0,50.3984375,3,0,"3",0,1,"dm",-7472,NA
"4967","2005","09","17","Saturday",0,"SB",27,1,"R",1,500,0,27,1,13,0.353756809,65,28,4,50.5390625,1,1,"5",4,0,"dm",-7373,NA
"4971","2005","09","17","Saturday",0,"SC",23,1,"P",3,3950,3907,34,2,4,0.716141785,0,12,5,41.9453125,2,0,"3",0,1,"dm",-7501,NA
"4972","2005","09","17","Saturday",1,"SA",21,1,"R",1,350,0,2,3,10,0.153986471,39,17,0,21.671875,1,2,"5",0,0,"dm",-7422,NA
"4978","2005","09","17","Saturday",0,"SA",19,1,"P",1,50,63,4,1,7,0,0,24,1,54.6953125,1,1,"3",0,1,"dm",-7453,NA
"4979","2005","09","17","Saturday",0,"SH",18,1,"P",1,1250,31,5,1,7,0.341037888,0,14,0,77,1,0,"5",0,0,"dm",-7430,NA
"4980","2005","09","17","Saturday",1,"SL",18,1,"P",1,1700,0,17,1,3,0.530584736,0,0,1,60.8671875,1,1,"5",0,0,"dm",-7327,NA
"4988","2005","09","17","Saturday",0,"SF",18,1,"P",1,50,0,6,1,9,0.070598982,0,4,0,90.28125,1,0,"3",0,1,"dm",-7293,NA
"5002","2005","09","17","Saturday",1,"SC",18,0,"P",3,200,1,66,1,18,0,0,23,0,91.125,1,2,"3",0,1,"dm",-7414,NA
"5007","2005","09","17","Saturday",0,"SA",19,1,"P",4,100,0,69,2,21,0,1,17,2,45.4921875,1,1,"3",0,1,"dm",-7509,NA
"5041","2005","09","20","Tuesday",0,"SO",18,0,"P",1,1200,64,31,1,74,0,40,18,0,74.46875,1,0,"5",0,0,"dm",-7758,NA
"5044","2005","09","20","Tuesday",0,"SB",19,2,"P",1,600,371,24,2,63,0.396305169,1,27,2,79.296875,1,0,"3",0,2,"dm",-7588,NA
"5045","2005","09","20","Tuesday",1,"SL",24,1,"R",4,2600,465,2,2,60,0,35,9,6,17.81640625,3,0,"3",0,2,"dm",-7527,NA
"5047","2005","09","20","Tuesday",1,"SF",19,2,"P",2,1450,93,16,1,48,0.070166215,15,16,0,78.171875,2,1,"5",0,0,"dm",-7820,NA
"5049","2005","09","20","Tuesday",0,"SM",18,1,"P",1,7500,6294,7,1,44,0.110993166,220,8,0,76.984375,1,0,"5",0,0,"dm",-7647,NA
"5050","2005","09","20","Tuesday",0,"SA",19,1,"P",1,700,403,15,2,44,0.063792127,0,23,1,43.3515625,1,1,"3",0,2,"dm",-7765,NA
"5052","2005","09","20","Tuesday",0,"SF",19,1,"P",1,950,0,2,1,40,0.499794096,0,4,1,34.109375,1,1,"3",0,1,"dm",-7781,NA
"5054","2005","09","20","Tuesday",0,"SM",20,3,"P",1,2050,93,7,2,40,0,55,7,0,59.7421875,1,0,"3",2172,2,"dm",-7743,NA
"5055","2005","09","20","Tuesday",0,"SO",26,2,"P",2,2150,929,2,1,39,0.248858666,39,17,9,57.6015625,2,0,"5",0,0,"dm",-7615,NA
"5057","2005","09","20","Tuesday",0,"SD",18,1,"P",1,50,744,8,2,36,0.051138029,34,7,1,70.828125,1,0,"3",17,2,"dm",-7569,NA
"5060","2005","09","20","Tuesday",0,"SA",18,1,"R",1,350,1240,31,1,30,0,29,12,2,79.765625,1,0,"2",0,0,"dm",-7530,NA
"5062","2005","09","20","Tuesday",0,"SD",18,1,"P",1,1200,93,24,1,26,0.069996156,0,19,0,82.921875,1,0,"3",0,1,"dm",-7552,NA
"5064","2005","09","20","Tuesday",0,"SH",19,1,"P",1,5900,5022,11,1,23,0.03497545,249,8,1,66.6875,1,0,"3",0,1,"dm",-7728,NA
"5065","2005","09","20","Tuesday",0,"SB",18,1,"P",1,350,2139,1,1,24,0,1,6,0,60.734375,1,0,"3",0,1,"dm",-7544,NA
"5066","2005","09","20","Tuesday",0,"SH",18,0,"P",1,350,154,2,1,24,0.055276506,30,8,1,74.3125,1,0,"5",0,0,"dm",-7562,NA
"5067","2005","09","20","Tuesday",0,"SE",18,0,"P",1,200,371,8,1,24,0.078132947,146,12,1,52.234375,1,0,"5",0,0,"dm",-7748,NA
"5068","2005","09","20","Tuesday",0,"SH",18,0,"P",2,150,31,23,1,22,0.203500771,230,4,1,64.5,2,0,"3",0,1,"dm",-7613,NA
"5069","2005","09","20","Tuesday",0,"SF",18,0,"P",1,1150,63,11,1,23,0,0,8,0,59.6796875,1,0,"5",0,0,"dm",-7605,NA
"5070","2005","09","20","Tuesday",1,"SD",20,1,"P",5,950,3844,5,1,22,0.066369944,345,19,2,54.1328125,7,0,"5",0,0,"dm",-7792,NA
"5071","2005","09","20","Tuesday",0,"SA",19,0,"P",1,50,186,16,1,22,0,0,17,1,70.265625,1,0,"3",0,1,"dm",-7575,NA
"5072","2005","09","20","Tuesday",0,"SH",18,1,"P",1,500,962,5,1,20,0,5,7,1,76.125,1,0,"5",0,0,"dm",-7619,NA
"5074","2005","09","20","Tuesday",0,"SO",18,0,"P",2,200,0,6,2,20,0,0,11,0,67.9375,1,0,"3",0,2,"dm",-7609,NA
"5079","2005","09","20","Tuesday",0,"SC",20,3,"P",1,500,403,11,2,19,0,1,13,1,83.4375,2,0,"3",1768,2,"dm",-7572,NA
"5082","2005","09","20","Tuesday",1,"SO",17,1,"P",2,1900,0,29,1,15,0.584803768,0,15,0,36.5390625,1,0,"5",81,0,"dm",-7616,NA
"5083","2005","09","20","Tuesday",0,"SE",18,1,"R",2,14950,13269,102,2,13,0.064230244,16,17,0,89.015625,1,0,"3",0,1,"dm",-7811,NA
"5086","2005","09","20","Tuesday",0,"SL",19,1,"P",1,150,63,4,1,13,0.020964588,0,10,1,56.2421875,1,0,"3",0,1,"dm",-7681,NA
"5094","2005","09","20","Tuesday",0,"SA",19,1,"P",1,950,32,1,1,12,0.013648234,0,12,2,93.109375,1,0,"5",1920,0,"dm",-7580,NA
"5095","2005","09","20","Tuesday",0,"SM",22,5,"P",1,500,0,13,1,11,0.163497592,0,15,4,75.75,1,0,"3",0,1,"dm",-7577,NA
"5098","2005","09","20","Tuesday",0,"SO",19,1,"P",3,450,0,42,1,10,0.020025542,33,13,1,57.1953125,1,0,"5",1289,0,"dm",-7628,NA
"5099","2005","09","20","Tuesday",1100,"SO",23,2,"P",2,1450,589,23,4,11,0.00345417,0,7,7,64.828125,1,0,"3",2221,2,"dm",-7546,NA
"5101","2005","09","20","Tuesday",0,"SB",23,1,"H",2,800,1364,6,5,10,0.167768235,71,7,4,48.0859375,3,0,"3",0,1,"dm",-7598,NA
"5104","2005","09","20","Tuesday",0,"SO",19,1,"P",1,1650,1333,6,1,7,0.050576864,75,6,1,59.28125,1,0,"3",0,1,"dm",-7675,NA
"5107","2005","09","20","Tuesday",0,"SA",18,1,"P",1,1500,1117,10,1,6,0,26,19,0,53.1640625,1,0,"3",0,1,"dm",-7568,NA
"5110","2005","09","20","Tuesday",0,"SO",16,1,"P",1,300,63,3,1,5,0.32497983,24,12,0,47.28125,1,0,"5",1065,0,"dm",-7610,NA
"5111","2005","09","20","Tuesday",0,"SF",19,1,"P",2,300,0,3,2,4,0.453176587,75,19,3,10.67578125,3,0,"5",0,0,"dm",-7676,NA
"5112","2005","09","20","Tuesday",0,"SC",19,1,"P",1,150,31,3,2,2,0.326634828,15,14,2,86.375,1,0,"3",0,2,"dm",-7796,NA
"5113","2005","09","20","Tuesday",120,"SG",19,1,"P",1,350,0,9,1,4,0.418431106,134,6,0,40.9296875,2,0,"3",135,1,"dm",-7705,NA
"5115","2005","09","20","Tuesday",0,"SM",17,0,"P",2,350,527,35,2,3,0.040382217,106,4,1,54.3671875,1,0,"5",0,0,"dm",-7618,NA
"5116","2005","09","20","Tuesday",0,"SJ",19,1,"P",1,100,1,10,1,4,0,264,7,0,48.3359375,1,0,"5",0,0,"dm",-7788,NA
"5119","2005","09","20","Tuesday",0,"SA",20,1,"P",1,350,155,1,1,4,0.156641779,1,6,1,56.7578125,1,0,"3",0,1,"dm",-7523,NA
"5120","2005","09","20","Tuesday",0,"SL",18,1,"P",1,150,0,1,1,3,0.029426694,0,14,0,49.8046875,1,0,"5",0,0,"dm",-7721,NA
"5121","2005","09","20","Tuesday",300,"SN",18,1,"P",2,2800,1831,4,3,2,0.352941751,0,0,0,48.7265625,3,0,"3",0,3,"dm",-7576,NA
"5122","2005","09","20","Tuesday",0,"SN",26,1,"P",2,150,0,61,1,3,0.099861068,0,13,2,43.6796875,1,1,"5",1803,0,"dm",-7761,NA
"5123","2005","09","20","Tuesday",1,"SH",18,0,"P",1,250,0,10,1,2,0.156121276,20,0,0,43.6171875,1,0,"5",0,0,"dm",-7816,NA
"5125","2005","09","20","Tuesday",0,"SH",18,1,"P",1,650,94,2,1,1,0.066567314,0,2,0,28.51171875,1,0,"5",0,0,"dm",-7583,NA
"5128","2005","09","20","Tuesday",0,"SB",20,2,"P",2,200,0,39,1,2,0.267071777,0,2,2,68.921875,1,0,"5",1540,0,"dm",-7570,NA
"5129","2005","09","20","Tuesday",0,"SO",19,1,"P",1,100,61,20,1,2,0.327786207,1,23,0,42.578125,1,0,"3",0,1,"dm",-7545,NA
"5132","2005","09","20","Tuesday",460,"SL",19,1,"P",2,50,0,18,6,15,0,41,0,1,72.859375,3,0,"3",10,3,"dm",-7595,NA
"5133","2005","09","20","Tuesday",460,"SL",19,6,"P",4,200,94,18,6,11,0,0,0,1,35.7890625,3,0,"3",10,3,"dm",-7592,NA
"5134","2005","09","20","Tuesday",0,"SO",33,1,"P",3,10050,3441,50,1,1,0.12430392,74,6,15,52.1796875,1,0,"5",0,0,"dm",-7638,NA
"5135","2005","09","20","Tuesday",1,"SB",20,1,"P",1,200,1,51,1,1,0.062790818,29,7,6,55.546875,1,0,"3",0,1,"dm",-7629,NA
"5136","2005","09","20","Tuesday",0,"SE",50,1,"R",1,9800,2789,5,3,7,0.185547501,56,6,3,53.421875,1,0,"3",0,2,"dm",-7529,NA
"5137","2005","09","20","Tuesday",0,"SB",18,1,"P",1,2050,249,19,1,11,0.001707558,0,14,2,34.28125,1,0,"5",2451,0,"dm",-7586,NA
"5139","2005","09","20","Tuesday",0,"SN",24,1,"H",2,550,527,5,4,29,0.104834783,0,0,3,73.140625,3,0,"3",0,2,"dm",-7585,NA
"5141","2005","09","20","Tuesday",0,"SN",20,1,"R",7,1050,124,2,4,28,0.324053911,91,13,0,32.625,5,0,"3",993,3,"dm",-7818,NA
"5142","2005","09","20","Tuesday",1600,"SD",46,1,"R",1,500,341,15,3,2,0,0,0,4,14.0859375,2,1,"3",0,1,"dm",-7695,NA
"5143","2005","09","20","Tuesday",500,"SO",25,1,"P",1,1700,92,28,2,5,0.256330587,1,4,11,41.1796875,1,0,"3",0,2,"dm",-7624,NA
"5144","2005","09","20","Tuesday",0,"SC",34,2,"R",1,650,0,8,2,9,1.677768089,172,5,3,15.16992188,1,1,"3",0,1,"dm",-7806,NA
"5145","2005","09","20","Tuesday",0,"SO",24,1,"P",2,950,2697,5,2,6,0,95,12,7,71.703125,2,0,"1",0,1,"dm",-7782,NA
"5147","2005","09","20","Tuesday",0,"SH",18,1,"P",1,150,744,1,2,5,0.154342409,20,3,0,57.984375,1,1,"3",0,1,"dm",-7622,NA
"5149","2005","09","20","Tuesday",0,"SF",18,0,"P",1,1650,496,18,1,31,0.246199046,1,15,1,89.265625,1,0,"3",0,1,"dm",-7702,NA
"5150","2005","09","20","Tuesday",0,"SO",19,1,"R",1,250,0,17,1,4,0.78519536,60,0,0,8.884765625,1,0,"3",0,1,"dm",-7769,NA
"5152","2005","09","20","Tuesday",0,"SC",19,1,"P",1,950,0,7,1,3,0.21829559,0,7,1,48.9765625,1,0,"3",242,1,"dm",-7740,NA
"5153","2005","09","20","Tuesday",0,"SL",18,1,"P",1,600,0,2,1,4,0.448369611,19,11,0,58.984375,1,0,"5",0,0,"dm",-7766,NA
"5154","2005","09","20","Tuesday",0,"SO",19,1,"P",1,700,0,10,1,4,0,0,1,0,84.09375,1,1,"3",0,1,"dm",-7711,NA
"5155","2005","09","20","Tuesday",0,"SC",18,1,"P",2,750,497,12,1,5,0,70,12,0,35.125,3,0,"5",0,0,"dm",-7817,NA
"5156","2005","09","20","Tuesday",0,"SN",22,1,"P",1,1050,0,20,1,41,0.100976189,50,8,0,62.9765625,2,0,"5",0,0,"dm",-7665,NA
"5157","2005","09","20","Tuesday",1,"SL",19,1,"P",1,750,653,8,1,12,0.314970936,0,21,0,53.890625,1,1,"5",1648,0,"dm",-7565,NA
"5158","2005","09","20","Tuesday",200,"SO",20,1,"R",1,250,0,13,1,6,0.285311055,30,2,0,67.171875,2,0,"5",0,0,"dm",-7574,NA
"5159","2005","09","20","Tuesday",0,"SD",20,1,"R",1,350,529,6,1,5,0.225382266,116,0,2,44.265625,1,0,"5",0,0,"dm",-7567,NA
"5160","2005","09","20","Tuesday",0,"SO",24,1,"P",2,1250,371,31,1,14,0.013339107,45,12,2,70.375,1,0,"5",0,0,"dm",-7518,NA
"5165","2005","09","20","Tuesday",0,"SC",19,2,"P",1,100,528,9,1,16,0.079773652,0,6,2,34.4765625,1,0,"5",2990,0,"dm",-7543,NA
"5166","2005","09","20","Tuesday",0,"SD",23,1,"P",1,950,249,25,1,7,0,0,0,1,35.4296875,1,0,"5",54,0,"dm",-7538,NA
"5167","2005","09","20","Tuesday",0,"SO",18,1,"P",1,1100,62,11,1,10,0,0,16,0,82.78125,1,0,"5",0,0,"dm",-7561,NA
"5169","2005","09","20","Tuesday",0,"SA",20,1,"R",2,50,0,42,1,15,0.090054015,0,2,0,35.703125,1,1,"5",60,0,"dm",-7821,NA
"5171","2005","09","20","Tuesday",0,"SG",26,0,"R",1,2100,1986,11,1,42,0,1,19,0,66.09375,2,0,"4",0,0,"dm",-7802,NA
"5174","2005","09","20","Tuesday",0,"SH",18,1,"P",2,200,1767,29,1,10,0,0,13,0,50.046875,1,1,"3",0,1,"dm",-7814,NA
"5176","2005","09","20","Tuesday",0,"SO",18,1,"R",2,150,343,15,1,4,0.330864425,0,19,0,56.71875,1,0,"5",0,0,"dm",-7757,NA
"5177","2005","09","20","Tuesday",0,"SL",23,4,"H",2,400,124,24,1,4,0.208215232,14,1,0,40.8125,1,1,"5",0,0,"dm",-7747,NA
"5178","2005","09","20","Tuesday",0,"SL",19,1,"P",1,250,2697,17,1,2,0,33,3,0,62.03125,2,3,"4",0,0,"dm",-7745,NA
"5204","2005","09","20","Tuesday",0,"SF",18,0,"P",1,300,31,2,1,23,0.05152894,126,12,0,45.421875,1,0,"3",0,1,"dm",-7594,NA
"5213","2005","09","20","Tuesday",0,"SO",28,2,"P",1,1450,0,13,2,28,0.328759493,0,9,9,60.640625,1,0,"3",1679,1,"dm",-7636,NA
"5219","2005","09","20","Tuesday",0,"SB",19,2,"P",1,100,0,14,1,38,0,1,23,0,91.0625,1,0,"3",130,1,"dm",-7679,NA
"5232","2005","09","20","Tuesday",0,"SD",21,1,"P",1,1600,372,29,1,47,0.134197736,29,13,2,67.984375,1,3,"5",1052,0,"dm",-7808,NA
"5234","2005","09","20","Tuesday",0,"SF",18,0,"P",1,750,280,22,1,71,0,0,22,0,75.203125,2,0,"3",0,1,"dm",-7795,NA
"5253","2005","09","21","Wednesday",0,"SG",19,0,"P",1,2850,743,10,1,55,0,0,11,0,75.390625,1,0,"3",0,1,"dm",-7869,NA
"5254","2005","09","21","Wednesday",0,"SB",20,1,"P",2,1550,7719,10,3,54,0.109905228,1409,5,2,75.609375,1,0,"3",0,1,"dm",-7874,NA
"5261","2005","09","21","Wednesday",1,"SA",19,1,"P",1,350,372,18,1,35,0.156954679,30,14,1,58.46875,1,0,"3",0,1,"dm",-7950,NA
"5262","2005","09","21","Wednesday",1,"SM",19,1,"R",1,350,0,11,1,31,0,0,23,2,67.890625,1,0,"5",82,0,"dm",-7966,NA
"5267","2005","09","21","Wednesday",0,"SH",18,1,"P",1,1150,804,6,1,23,0.023203319,40,14,0,76.203125,1,2,"3",0,1,"dm",-7832,NA
"5269","2005","09","21","Wednesday",1,"SC",19,1,"P",2,600,557,12,3,22,0.044912733,0,8,1,58.6015625,2,0,"2",0,3,"dm",-7959,NA
"5270","2005","09","21","Wednesday",0,"SE",17,1,"P",1,7500,2388,2,1,19,0,0,24,0,64.4375,1,1,"5",0,0,"dm",-8008,NA
"5273","2005","09","21","Wednesday",500,"SB",18,1,"P",2,200,836,6,3,16,0.094231237,1241,4,1,89.71875,3,2,"3",0,3,"dm",-7840,NA
"5275","2005","09","21","Wednesday",0,"SF",18,0,"P",1,500,464,20,1,16,0,30,12,0,68.671875,1,3,"3",0,1,"dm",-7910,NA
"5277","2005","09","21","Wednesday",0,"SO",17,1,"P",3,1900,1892,2,2,14,0.09534436,321,18,2,36.9140625,2,1,"5",0,0,"dm",-7998,NA
