"","Year","Month","Day","wday","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","D_02","I_03","I_04","I_05","I_06","D_01","ER_01","ER_02","P_01","S_01","S_02","CA_01","CA_02","CA_03","GOOD","id","app_id","na_prop"
"8687","2006","03","03","Friday",0,"SO",23,5,"P",1.59,1796,571.55,48,1.17,7,0.012971319,61.3,10.99,2.91,81.609375,2,1,"5",906.45,0,"0","dm",14481,0.233333333333333
"8688","2006","03","03","Friday",300,"SO",21,3,"P",1.6,600,434,9,2,27.21,0.021238958,130,13.29,2.74,81.296875,1,1,"3",1349,2,"0","dm",14484,0.166666666666667
"8689","2006","03","03","Friday",5000,"SO",61,2.28,"R",1.87,2770.5,1272.72,13.85,1.61,18.29,0,79.83,13,3.53,50.88116210943,1.56,1.88,"4",634.66,0,"0","dm",14483,0.433333333333333
"8690","2006","03","03","Friday",0,"SB",24,1,"R",1.1,606.5,382.3,16.41,1.08,12.33,0,59.25,8.56,2.27,50.4465234375,1.07,1.67,"4",43.29,0,"0","dm",14493,0.0666666666666667
"8691","2006","03","03","Friday",0,"SB",26,1.2,"R",1.08,659,447.775,16.81,1.11,10.96,0.123621352,48.6,6.78,2.15,46.1484375,1.05,1.47,"5",53.08,0,"0","dm",14487,0.366666666666667
"8698","2006","03","04","Saturday",0,"SB",19,1,"P",1.25,784,551.39,55,1,15,0,66.51,6,2.75,14.0625,1.16,1.53,"3",0,1,"0","dm",14480,0.433333333333333
"8723","2006","03","07","Tuesday",1,"SA",19,1,"P",1.21,434.083333333333,220.87,12,1.03,18,0.091190917,63.53,10,0,63.4453125,1.09,1.69,"5",30.14,0,"0","dm",14490,0.366666666666667
"8724","2006","03","07","Tuesday",400,"SO",18,1.06,"P",1.38,471,288.27,12.27,1.02,3,0.029740729,53.69,8.1,0.68,58.578125,2,0,"5",69.625,0,"0","dm",14494,0.233333333333333
"8725","2006","03","07","Tuesday",660,"SO",24,1.4,"R",1,150,541.84,2,1,20.805,0.994319655,195.84,12.62,2.84,37.8671875,3,1,"3",0,1,"0","dm",14486,0.133333333333333
"8726","2006","03","07","Tuesday",0,"SC",19,1,"R",1.18,596.5,267.71,14.8,1.07,15.48,0,61.83,9.36,0.93,56.36459960938,1,0,"5",54.87,0,"0","dm",14498,0.266666666666667
"8742","2006","03","08","Wednesday",0,"SB",19,1,"P",1.11,636,337.58,15,1,4,0,52.03,8.19,1,79.890625,1,1,"3",0,1,"0","dm",14482,0.333333333333333
"8743","2006","03","08","Wednesday",520,"FT",36,1.57,"R",1.58,1616.5,1462.76,8,1.36,19.89,0.073170081,95.16,11.12,0,60.5,2,0,"5",361.3,0,"0","dm",14496,0.1
"8754","2006","03","09","Thursday",1,"SO",20,1,"P",1.38,950,343.24,17,1,26,0,52.3,12,2,56.8203125,1,1,"3",588,1,"0","dm",14512,0.3
"8755","2006","03","09","Thursday",300,"SC",20,1,"P",1.35,1278.5,509.17,10,1.28,2,0.073775608,62.56,2,3,84.71875,1,1,"5",429.03,0,"0","dm",14503,0.3
"8776","2006","03","10","Friday",460,"SL",19,1.47,"P",2,2400,1737,2,1,12,0.183218541,46.68,27,0,55.6953125,3,0,"3",709,1,"0","dm",14518,0.166666666666667
"8777","2006","03","10","Friday",1,"SO",18,1,"H",1.31,850,660.05,28,1,18.48,0.408902518,54.53,10.04,1,77.84375,1,1.03,"3",727,1,"0","dm",14528,0.233333333333333
"8793","2006","03","11","Saturday",0,"SD",21,2,"P",1,150,472.97,2,1.39,85,0.192693409,133.51,13,5,44.7578125,1.19,1.72,"5",269.08,0,"0","dm",14510,0.233333333333333
"8794","2006","03","11","Saturday",0,"SN",20,1,"P",1.14,709,568.78,49,1,15,0.220185404,101.57,4,3,33.8984375,1.14,1.63,"3",0,1,"0","dm",14526,0.133333333333333
"8816","2006","03","14","Tuesday",0,"SF",18,1,"P",2,650,156,5,1,12,0,26,8,0,58.015625,3,1,"3",382,1,"0","dm",14520,0.233333333333333
"8817","2006","03","14","Tuesday",0,"SO",20,2,"P",2,1050,185,3,1,6,0,39.36,0,0,59.7055859375,2,1,"3",0,1,"0","dm",14499,0.133333333333333
"8851","2006","03","16","Thursday",0,"SC",20,1,"P",1.47,706.5,309.86,15.67,1.13,35,0,40.49,12.89,1.65,62.75,2,2,"5",41.8,0,"0","dm",14500,0.0333333333333333
"8852","2006","03","16","Thursday",0,"SA",18,1,"P",1.13,634.5,367.53,65,1,8,0.086826156,38.2,11.1,1,50.4921875,1,1,"3",0,1,"0","dm",14517,0.333333333333333
"8853","2006","03","16","Thursday",0,"SO",19,1,"P",1.08,614,341.5675,49,1,2,0.089882423,34.39,9.03,0.911666666666667,44.1328125,1.13,1.94,"3",0,1,"0","dm",14532,0.166666666666667
"8854","2006","03","16","Thursday",1200,"SO",19,1.09,"R",1.74,785.5,598.69,14.36,1.51,30.54,0.04697671,72.94,14.05,1.53,77.171875,1.62,1.47,"5",109.58,0,"0","dm",14525,0
"8855","2006","03","16","Thursday",0,"SB",30,0.98,"R",1.25,741.5,543.46,21.09,1.19,24.31,0.232238396,55.98,13.45,2.18,68.328125,1.21,1.41,"5",34.48,0,"0","dm",14521,0.3
"8867","2006","03","17","Friday",200,"SO",18,1.13,"P",1.4,626.5,331.13,13,1,82,0,40.93,14,0.88,64.4375,1.22,2.08666666666667,"3",0,1,"0","dm",14531,0.133333333333333
"8880","2006","03","18","Saturday",0,"SB",19,1,"P",1,150,0,4,1.25,32,0.019951654,86.66,14,0,37.125,1,1,"5",213.284,0,"0","dm",14524,0.3
"8881","2006","03","18","Saturday",160,"SE",18,1.25,"P",1.24,557,316.05,14.32,1.1,17.48,0,90.46,10.98,0.99,39.9765625,1,0,"5",162.54,0,"0","dm",14553,0.333333333333333
"8906","2006","03","21","Tuesday",0,"SO",19,1,"R",1.06,486.5,298.33,14,1,12.303,0,39.6,7.54333333333333,0,59.92173828125,1.1,2.03666666666667,"3",0,1,"0","dm",14545,0.233333333333333
"8907","2006","03","21","Tuesday",560,"SC",23,1.04,"R",1,662.5,600.63,5,1,11.095,0.308912643,42.44,7.41,2.21,42.6328125,1.24,2.09,"3",0,1,"0","dm",14551,0.2
"8908","2006","03","21","Tuesday",0,"SO",34,1,"R",1.17,772,430.34,16.51,1.18,13.3,0.038204411,33.92,8.11,0,59.359375,1.11,1.16,"5",119.44,0,"0","dm",14546,0.233333333333333
"8920","2006","03","22","Wednesday",800,"SB",23,1.24,"R",1.66,761.5,574.25,14,1,23.54,0.396222206,38.37,12.57,2.15,75.15625,1,0,"3",0,1,"0","dm",14539,0.3
"8934","2006","03","23","Thursday",0,"SO",19,1,"P",1,650,31,2,1,21.31,0.135953603,1,11.88,3,77.125,1.35,2.2,"3",0,1,"0","dm",14542,0.133333333333333
"8935","2006","03","23","Thursday",0,"SC",30,1,"R",1.14,843,549.44,20.95,1.15,10.78,0.467400387,31.27,6.76,2.16,45.125,1.14,1.39,"5",188.15,0,"0","dm",14544,0.266666666666667
"8947","2006","03","24","Friday",0,"SO",20,1,"R",1.27,699,444.67,12,1,11,0,85,20,2,76.671875,1.34,1.95,"2",0,1,"0","dm",14563,0.0666666666666667
"8948","2006","03","24","Friday",0,"SA",20,1,"P",1,559.5,335.36,5,1.16,6,0.178760795,59,16,1,50.5234375,1.21,1.795,"5",23.71,0,"0","dm",14560,0.166666666666667
"8949","2006","03","24","Friday",0,"SE",21,1,"R",1.27,648.5,499.63,9,2,22.61,0.067979207,64.92,13.43,2.39,71.328125,2,1,"3",0,1,"0","dm",14559,0.333333333333333
"8950","2006","03","24","Friday",1500,"SO",21,1.23,"R",2,1867,1240.25,1,2,24.84,0.161422226,55.3,14.33,2.44,59.6875,2,1,"3",0,2,"0","dm",14571,0.233333333333333
"8959","2006","03","25","Saturday",0,"SM",20,1,"R",1.28,678.5,452.643333333333,18.71,1.35,17.11,0,56.35,10.38,2.27,21.47265625,1,1,"5",253.85,0,"0","dm",14562,0.0666666666666667
"8994","2006","03","28","Tuesday",0,"SM",34,3,"R",1.28,1956.5,1325.66,21.93,1.49,16.24,0,77.76,1,2.6,49.07848144531,1,0,"5",1107.84,0,"0","dm",14564,0.1
"8995","2006","03","28","Tuesday",0,"SO",20,1.09,"R",1.05,503,453.76,15.82,1.06,12.26,0.074064574,43.97,7.84,1.54,52.6640625,1.13,1.37,"5",40.56,0,"0","dm",14558,0.266666666666667
"9009","2006","03","29","Wednesday",1,"SC",23,3,"P",1.17,150,439.3,13,2,13,0.273187227,0,20,6,69.859375,1,1.59,"3",170,2,"0","dm",14568,0.166666666666667
"9042","2006","04","01","Saturday",1,"SB",19,1,"P",1.2,618.583333333333,334.9,8,1.22,32,0,0,18,2,75.359375,1,2,"5",68.82,0,"0","dm",14597,0.1
"9061","2006","04","04","Tuesday",1,"SO",26,1.21,"R",1.4,1162,666.85,18.41,1.39,23.29,0.019954705,47.83,11.93,2.48,69.875,1.1,1.11,"5",136.66,0,"0","dm",14592,0
"9062","2006","04","04","Tuesday",0,"SO",27,1,"H",4,4300,1177,3,3,24.3375,0.027478057,69,11.99,3,79.3125,3,0,"3",559,2,"0","dm",14584,0.166666666666667
"9063","2006","04","04","Tuesday",0,"SN",22,2,"R",1,1178,661.24,4,2,18.02,0,44.1,9.31,0,68.171875,2,0,"3",0,1,"0","dm",14590,0.266666666666667
"9064","2006","04","04","Tuesday",0,"SB",20,1,"P",1.22,200,468.74,7,1,12.06,0.473638477,0,9.02,3,54.265625,1.11,3,"3",0,1,"0","dm",14589,0.366666666666667
"9065","2006","04","04","Tuesday",1,"SB",19,1.03,"R",1,951,521.14,3,1,11.69,0.494455439,50,8.62,1.61,55.90625,1,2,"2",168.67,0,"0","dm",14596,0.2
"9066","2006","04","04","Tuesday",1,"SO",31,1.2,"R",1.79,2600.5,1253.7,16.68,1.77,21.13,0.880934611,86.36,11.86,3.3,30.2109375,1.62,1.4,"5",407.16,0,"0","dm",14586,0.166666666666667
"9079","2006","04","05","Wednesday",0,"SA",21,1,"P",1.07,677.583333333333,265.13,15,1,17,0.019238154,39.84,18,2.46,35.9296875,1.11,2.21,"3",0,1,"0","dm",14594,0.166666666666667
"9094","2006","04","06","Thursday",0,"SE",18,1,"P",2,444,314.72,3,2,35,0.13923766,61.73,5,0,55.9765625,1,1,"3",0,2,"0","dm",14587,0.166666666666667
"9105","2006","04","07","Friday",0,"SF",19,1,"R",1.15,517.5,345.78,14.75,1.07,12.9,0,156.54,9.2,0.96,45.50250976563,1.11,1.62,"5",79.65,0,"0","dm",14595,0.233333333333333
"9120","2006","04","08","Saturday",0,"SB",19,1,"P",1.38,1400,0,7,1,29,0,55.77,25,0,51.140625,1,1,"3",393,1,"0","dm",14585,0.3
"9121","2006","04","08","Saturday",1,"SO",19,1,"P",1,653.5,439.15,3,1,1,0.122396294,0,9.34,0,47.1953125,1,1,"3",0,1,"0","dm",14609,0.3
"9143","2006","04","11","Tuesday",400,"SO",18,1.03,"P",1.23,583.5,449.3375,15.86,1.06,7,0,37.74,10.29,0,58.4865234375,1.1,1.62,"5",40.144,0,"0","dm",14610,0.366666666666667
"9144","2006","04","11","Tuesday",1160,"SD",44,1,"R",1.69,1932.66666666667,1691.71,17.19,1.81,25.01,0,103.98,12.9,2.37,50.02677246109,1.28,1.76,"4",435.55,0,"0","dm",14616,0.333333333333333
"9160","2006","04","12","Wednesday",400,"FT",22,4,"P",1.52,894,594.55,25,1,9,0,52.43,9.92,2.79,57.15000976563,2,1,"3",0,1,"0","dm",14612,0.266666666666667
"9161","2006","04","12","Wednesday",1,"SO",18,1,"P",1.5,895.5,475.82,9,1.07,28.96,0,33.14,12.68,2,61.9874609375,1.18,3,"5",90.98,0,"0","dm",14602,0.333333333333333
"9191","2006","04","14","Friday",1,"SE",18,0.9,"R",1.32,563.5,390.035,14.18,1.08,24.56,0,48.84,11.06,0.65,55.91984375007,1.09,1.69,"4",54.39,0,"0","dm",14614,0.3
"9206","2006","04","15","Saturday",0,"SC",20,1,"P",1.43,647.5,292.54,16,2,15,0.0669546,30,6,1,17.6953125,1,0,"3",17,2,"0","dm",14629,0.2
"9207","2006","04","15","Saturday",600,"SO",19,1.3,"P",3,1500,708.44,2,1,1,0.129539161,36.6,9.04,0.9375,60.1015625,2,1,"3",689,1,"0","dm",14622,0.233333333333333
"9227","2006","04","18","Tuesday",0,"SM",19,1,"P",1.48,750,124,9,2,39,0.07192919,95,17,1.49,82.25,1,0,"3",561,2,"0","dm",14619,0.333333333333333
"9228","2006","04","18","Tuesday",0,"SM",20,1,"P",1.19,1216,528.36,23,1.2,8,0,30,0,0,55.987890625,1,1,"5",388.95,0,"0","dm",14624,0.1
"9229","2006","04","18","Tuesday",1,"SE",33,1,"R",1,950,662.25,3,2,19.38,0.301114313,206,13.34,2.81,45.7890625,1,1,"3",872,2,"0","dm",14642,0.333333333333333
"9230","2006","04","18","Tuesday",0,"SD",35,1,"R",1,998.666666666667,606.1,3,1.44,12.93,0.425831558,105,8.84,2.73,48.3828125,1.06,1.65,"5",313.65,0,"0","dm",14643,0.366666666666667
"9239","2006","04","19","Wednesday",0,"SD",20,1,"P",1.19,575,305.47,17,1,11,0.247891172,38.56,12,3,55.3359375,1,0,"3",0,1,"0","dm",14638,0.0333333333333333
"9240","2006","04","19","Wednesday",500,"SO",25,1.18,"R",1.17,699.5,460.41,20.1,1.11,14.98,0,38.13,11.38,1.81,50.71512695313,1.04,2.12,"5",17.01,0,"0","dm",14636,0.2
"9248","2006","04","20","Thursday",900,"SO",32,1,"R",2.39,1951.5,1216.01,7,4,28.36,0.41869006,200,12.8,1,36.296875,3,1,"3",0,3,"0","dm",14630,0.133333333333333
"9259","2006","04","21","Friday",160,"SO",20,3,"P",1.44,1287.5,426.93,18,3,8,0.108716362,43.91,12,1,72.1875,1,2,"3",1289,3,"0","dm",14639,0.1
"9260","2006","04","21","Friday",1,"SE",20,0.95,"R",1.06,534,389.18,15.48,1.12,9.89,0.092511912,42.85,9.23,1.59,44.109375,1.05,1.71,"5",42.27,0,"0","dm",14626,0.2
"9277","2006","04","26","Wednesday",400,"SO",24,1.29,"R",1.37,1059.5,449.41,17,1,65,0.314289311,51.41,13.066,3.02,76.296875,1,2,"3",0,1,"0","dm",14660,0.266666666666667
"9278","2006","04","26","Wednesday",600,"SO",18,0.9,"P",1.37,521.5,452.96,36,1,29,0,54.98,13,0.95,55.53125,1.05,1.74,"3",0,1,"0","dm",14655,0.433333333333333
"9279","2006","04","26","Wednesday",1,"SO",18,0,"P",1.16,491.5,288.21,12.38,1.09,4,0.10084023,38.68,10.26,0.62,64.359375,1.02,3,"5",14.93,0,"0","dm",14663,0.333333333333333
"9280","2006","04","26","Wednesday",1300,"SM",24,1.39,"P",1.525,350,93,22,1.61,2,0,88.02,5,3.37,64.125,1.51,3,"5",147.69,0,"0","dm",14650,0.4
"9281","2006","04","26","Wednesday",420,"SA",21,3,"R",1.37,1479,606.94,16.3,1.46,23.31,0,50.87,12.28,2.08333333333333,56.81332519532,1,0,"5",463.84,0,"0","dm",14658,0.266666666666667
"9300","2006","04","27","Thursday",2,"SC",20,2,"R",1.16,851,527.83,17.94,1.09,19.3,0,39.65,10.98,1.88,61.0453515625,1.04,1.71,"4",235.036666666667,0,"0","dm",14664,0.433333333333333
"9310","2006","04","28","Friday",1,"SO",30,2,"R",1.34,1840.5,1003.35,12,4,16.08,0.117851131,49.51,10.59,2,48.875,1,2,"3",997,1,"0","dm",14657,0.0333333333333333
"9333","2006","05","03","Wednesday",0,"SA",20,2,"P",1.53,1661.5,537.95,7,1.3,58,0,40.41,26,3,77.28125,1,1,"5",547.19,0,"0","dm",14656,0.366666666666667
"9334","2006","05","03","Wednesday",1,"SB",18,0,"P",1.38,645.5,372.9,12.23,1.18,24,0.136514886,43.06,21,1.34,65.703125,1,0,"5",176.13,0,"0","dm",14662,0.4
"9349","2006","05","04","Thursday",0,"SE",27,1,"R",1.16,1543.5,1157.16,20.46,1.27,18.6,0,39.56,11.33,2.57,56.16359375,1.08,1.42,"4",368.88,0,"0","dm",14653,0.133333333333333
"9365","2006","05","05","Friday",1,"SO",18,1,"P",1,1866,486.65,1,1,13,0.161179983,38.58,3,1.38,93.25,2,1,"3",428,1,"0","dm",14676,0.166666666666667
"9366","2006","05","05","Friday",0,"SO",20,0,"P",1.08,637.5,262.02,6,1,23.04,0.026371375,39.9,11.91,1,75.75,1.13,2.14,"5",72.86,0,"0","dm",14679,0.333333333333333
"9371","2006","05","06","Saturday",0,"SO",19,1.01,"R",1.19,511,434.28,15.75,1.355,20.57,0.008034453,124.74,12.35,2.13,2.083984375,1.08,3,"5",111.26,0,"0","dm",14681,0.233333333333333
"9410","2006","05","09","Tuesday",0,"SA",24,0,"R",1.34,750,777,11,2,23.87,0.118236515,60.8,12.59,2.27,80.25,1,1.12,"3",0,2,"0","dm",14671,0.1
"9411","2006","05","09","Tuesday",0,"SA",24,1.49,"R",1,500,123,1,1,16.46,0.311809965,69,10.31,0,18.828125,1,0,"3",1314,1,"0","dm",14680,0.233333333333333
"9422","2006","05","10","Wednesday",0,"SH",21,1,"P",1,1800,0,1,1,37,0,42.06,2,0,67.626484375,2,0,"3",1195,1,"0","dm",14675,0.333333333333333
"9423","2006","05","10","Wednesday",0,"SC",22,2,"P",1.2,600,392.75,7,3,13,0.14553825,0,6,2,69.546875,1,3,"3",211,2,"0","dm",14677,0.233333333333333
"9424","2006","05","10","Wednesday",500,"SB",24,1.34,"R",1.16,810,576.82,20.87,1.16,10,0.156222246,38.99,1,2.55,71.75,1.08,1.69,"5",138.33,0,"0","dm",14683,0.1
"9425","2006","05","10","Wednesday",0,"SO",22,3,"P",1.14,1559.5,531.8,19.34,1.19,13.4,0.313707935,22.36,8.8,2.52,59.3046875,1,2,"5",525.35,0,"0","dm",14702,0.266666666666667
"9443","2006","05","12","Friday",200,"SO",25,2.55,"P",1.68,1419.5,822.5,43,1,3,0.024556886,1,23,3.32,68.796875,1,1.33,"3",1720,1,"0","dm",14698,0.3
"9456","2006","05","13","Saturday",520,"SO",21,4,"P",1.54,1409,700.86,10,2,71,0,1,22,0,36.4609375,1,1.32,"3",350,2,"0","dm",14693,0.233333333333333
"9457","2006","05","13","Saturday",1,"SB",20,1,"P",1.22,746.5,551.56,42,1,11,0,19.79,20,2,70.75,1,1.02,"3",154,1,"0","dm",14705,0.166666666666667
"9458","2006","05","13","Saturday",0,"SN",19,1,"P",1.3,993.5,584.5,15.27,1.19,8,0.11432732,39.73,8,1.17,31.81640625,1,0,"5",135.318,0,"0","dm",14691,0.133333333333333
"9459","2006","05","13","Saturday",700,"SB",28,1.57,"R",1,1450,1550,2,3,18.04,0.073911544,0,11.02,0,55.3046875,1,2,"3",0,2,"0","dm",14695,0.466666666666667
"9460","2006","05","13","Saturday",2,"SE",19,1.27,"R",1.62,706,552.28,13.49,1.13,31.99,0,21.08,13.55,1.14,59.64576171875,3,1,"5",194.02,0,"0","dm",14694,0.2
"9461","2006","05","13","Saturday",460,"SO",26,1.51,"R",1.34,1226.5,641.81,17.71,1.33,26.24,0.433629832,33.87,13.15,2.05,67.65625,1.1,1.43,"5",252.95,0,"0","dm",14713,0.233333333333333
"9485","2006","05","16","Tuesday",1,"SO",22,5,"P",1,2600,1240,4,1,4,0,0,9,5,59.75,1,1.43,"3",527,1,"0","dm",14711,0.0666666666666667
"9501","2006","05","17","Wednesday",1,"SH",18,0.95,"P",1.31,859.5,556.82,15.58,1.1,43,0,26.71,6,0,81.671875,1.11,1.55,"5",105.7,0,"0","dm",14717,0.333333333333333
"9502","2006","05","17","Wednesday",200,"SO",20,1.2,"P",1.53,1650,498,7,2,25,0.212244235,57,19,3,40.7109375,1,2,"2",213,2,"0","dm",14720,0.1
"9513","2006","05","18","Thursday",0,"SA",19,1,"R",1.2,1119,745.61,8,2,5,0.025469559,0,9.92,2,52.3359375,1,1,"3",0,2,"0","dm",14722,0.133333333333333
"9514","2006","05","18","Thursday",600,"SK",20,1.15,"P",1,1119,732.4475,2,1,20.8441666666667,0.083504254,44.67,12.15,2.22,86.59375,1.23,1.99,"3",0,1,"0","dm",14740,0.333333333333333
"9527","2006","05","19","Friday",1,"SO",21,1,"P",1.3,500,311.03,20,2,43,0,55.75,7,2.61,61.0703125,1,0.99,"3",0,2,"0","dm",14731,0.166666666666667
"9528","2006","05","19","Friday",200,"SB",20,2,"R",1.06,594,381.85,17.58,1.08,16.25,0,44.35,10.28,1.7,54.53767578125,1.01,1.45,"4",109.58,0,"0","dm",14741,0.233333333333333
"9539","2006","05","20","Saturday",1,"SD",20,1,"P",1.14,50,311.76,14,1,40,0.096254535,64.22,8,1,79.703125,1,0.82,"3",21,1,"0","dm",14742,0.233333333333333
"9565","2006","05","23","Tuesday",0,"SC",19,1,"P",1.1,400,350.85,8,1,22,0.173975806,26.58,12,0,65.28125,1.08,2.23,"3",0,1,"0","dm",14729,0.133333333333333
"9575","2006","05","24","Wednesday",0,"SO",19,1,"P",1,571,348.61,4,1,10,0.251823264,58.2975,10.55,0.74,48.8515625,2,0,"3",0,1,"0","dm",14746,0.366666666666667
"9589","2006","05","25","Thursday",260,"SO",19,2,"P",2,150,410.3,4,1.13,23,0.003027834,0,19,0,55.015625,2,1,"5",264.77,0,"0","dm",14736,0.366666666666667
"9590","2006","05","25","Thursday",0,"SB",25,1,"R",1.27,694.5,513.53,16.07,1.16,18.185,0.166990924,33.97,13.8,1.71,30.49609375,1,0,"5",173.46,0,"0","dm",14735,0.0666666666666667
"9591","2006","05","25","Thursday",0,"SC",25,1,"R",1.19,740,652.92,17.17,1.1,14.99,0,26.42,10.55,1.63,51.4453125,1.06,1.69,"5",91.52,0,"0","dm",14730,0.133333333333333
"9603","2006","05","26","Friday",500,"SO",24,1.42,"P",1,1113,466.22,5,2,32,0.157791691,729,8,7,18.7421875,1.21,2.04,"3",0,1,"0","dm",14749,0.166666666666667
"9604","2006","05","26","Friday",1,"SB",18,1,"P",1.25,593,366.04,10,1,13,0.354117548,0,3,1,47.6328125,1,0,"3",0,1,"0","dm",14767,0.2
"9616","2006","05","27","Saturday",0,"SO",20,1,"P",1.2,1045,437.48,17,1,26,0,30.56,8,1,32.703125,1,1,"3",393,1,"0","dm",14783,0.266666666666667
"9617","2006","05","27","Saturday",1,"SA",22,1,"P",1.37,1155.5,547.86,19,2,4,0.089224788,52.1,28,3,56.7890625,2,1,"3",372,1,"0","dm",14761,0.2
"9618","2006","05","27","Saturday",700,"SC",27,1,"P",3,1112.5,768.17,3,2,21.95,0.054749291,64,11.94,2.57,52.5234375,3,1,"3",0,2,"0","dm",14764,0.166666666666667
"9619","2006","05","27","Saturday",0,"SA",24,1,"R",1.15,650,496,8,1,18.93,0.065465172,59.84,13.62,2,61.7109375,1,2,"5",280.998,0,"0","dm",14774,0.366666666666667
"9642","2006","05","31","Wednesday",0,"SE",20,2,"P",1,2550,789.4,4,1,31,0,0,23,2,57.234375,1,2,"3",799,1,"0","dm",14775,0.233333333333333
"9643","2006","05","31","Wednesday",1800,"SC",41,2,"H",4,900,1365.324,6,2,29.78,0,79.43,13.08,0,61.3317578126,3,1,"3",607,2,"0","dm",14768,0.233333333333333
"9644","2006","05","31","Wednesday",2000,"FT",36,1.76,"R",2.15,2435.5,1677.55,21,1.74,20.42,0.126319865,225,12.76,5.38,80.828125,1.63,1.49,"5",666.55,0,"0","dm",14771,0.233333333333333
"9645","2006","05","31","Wednesday",0,"SO",34,0,"R",1.33,964,561.81,18.24,1.44,14.04,0.16601604,189.27,9.6,3.46,26.4609375,1.19,1.52,"5",264.03,0,"0","dm",14780,0.4
"9652","2006","06","01","Thursday",560,"SB",22,1.17,"R",1,250,454.14,2,1,15.26,0,90,10.41,2.56,39.171875,2,1,"3",0,1,"0","dm",14760,0.2
"9667","2006","06","02","Friday",0,"SN",18,1,"P",1,740.5,379.29,2,1,30,0,1,7,1,57.7890625,1,1.16,"3",24,1,"0","dm",14778,0.466666666666667
"9681","2006","06","03","Saturday",560,"SN",20,1,"P",1.49,200,598.92,9,2,8,0.062678181,111,28,3,68.734375,1,1.15,"3",143,1,"0","dm",14779,0.433333333333333
"9682","2006","06","03","Saturday",0,"SB",20,2,"P",1.32,500,387.6,10,2,3,0,51.63,11.58,2.78,22.1796875,1,1.29,"3",311,2,"0","dm",14758,0.3
"9683","2006","06","03","Saturday",1,"SO",19,1,"P",1.25,520,334.13,13.44,1.13,1,0.026557702,46.1,14,0,37.75,1.05,1.87,"5",75.28,0,"0","dm",14769,0.433333333333333
"9706","2006","06","06","Tuesday",0,"SK",18,1,"P",1,802,380.16,4,1.25,43,0.033581634,0,18,0,30.10546875,1,2,"5",100.09,0,"0","dm",14793,0.133333333333333
"9707","2006","06","06","Tuesday",0,"SM",23,5,"P",1.37,1482.5,494.22,23.42,1.455,14.95,0.10970603,98.13,9.08,2.61,42.5703125,2,1,"5",1010.68,0,"0","dm",14785,0.3
"9714","2006","06","07","Wednesday",480,"SO",18,1.11,"H",1.39,784,580.38,14.79,1.12,27,0.03086456,46.66,7,1.11,80.40625,1.19,1.33,"5",115.954,0,"0","dm",14795,0.3
"9715","2006","06","07","Wednesday",160,"SO",18,0.96,"P",1.23,429.5,234.14,13.82,1.09,22.07,0.023541638,115.98,14,0.26,45.484375,1.13,1.51,"5",44.39,0,"0","dm",14804,0.233333333333333
"9716","2006","06","07","Wednesday",0,"SO",23,1.25,"R",1.52,695.5,361.86,30,1,20.26,0,155.24,13.09,4.05,17.265625,2,0,"1",129.36,0,"0","dm",14790,0.166666666666667
"9717","2006","06","07","Wednesday",1,"SC",23,1,"R",1.19,655.5,344.25,17.85,1.13,12.08,0.189344385,124.11,9.99,1.89,40.671875,1,0,"5",49.46,0,"0","dm",14799,0.2
"9742","2006","06","09","Friday",11,"SB",17,0,"P",1.19,462.25,295.89,17.16,1.21,45,0.30752247,76.06,21,0,64.75,1.07,1.55,"5",70.19,0,"0","dm",14796,0.333333333333333
"9743","2006","06","09","Friday",0,"SA",20,0,"P",1.2,587.5,389.78,66,1,14,0.022569946,82.395,6,2.44,18.71875,1,1.29666666666667,"3",0,1,"0","dm",14812,0.3
"9744","2006","06","09","Friday",0,"SA",19,2,"P",1.17,400.5,325.87,15.37,1.16,6,0.073835251,85.77,7,1.32,40.46875,1,1,"5",207.43,0,"0","dm",14815,0.133333333333333
"9745","2006","06","09","Friday",0,"SO",19,1,"P",1.2,2650,741.96,6,1,5,0.045377864,53.94,6,0,33.4296875,1,2,"3",698,1,"0","dm",14821,0.3
"9760","2006","06","10","Saturday",0,"SL",19,2,"P",1.21,617.25,317.03,13,1.16,20,0,35.02,6,2,71.96875,1,0,"5",147.78,0,"0","dm",14817,0.1
"9779","2006","06","13","Tuesday",0,"SF",21,2,"P",1.16,500,457.04,33,1,12,0,24,6,2.22,68.96875,1,1,"3",0,1,"0","dm",14811,0.266666666666667
"9780","2006","06","13","Tuesday",0,"SO",19,0,"P",1.18,1185,406.63,7,1,4,0.036544511,25.85,14,1,69.21875,1,3,"3",698,1,"0","dm",14818,0.233333333333333
"9781","2006","06","13","Tuesday",1,"SA",18,1,"P",1,200,404.52,6,1,2,0.052037791,0,8.28,0.77,53.734375,2,1,"3",290,1,"0","dm",14836,0.1
"9782","2006","06","13","Tuesday",0,"SO",38,1,"R",1.19,1428,917.72,22.16,1.3,17.52,0,22.89,9.67,3.13,48.83765625,1.09,1.16,"4",287.41,0,"0","dm",14831,0.233333333333333
"9792","2006","06","14","Wednesday",0,"SO",19,1,"P",1.37,387.5,273,13,1,26,0.092601087,62.8,11,0.68,49.8828125,2,0,"3",0,1,"0","dm",14840,0.133333333333333
